"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_10_sample_2B",-27.391160836199,-31.3828411288078,"Exudophore",102291
"GPNJ7M_11_sample_2C",15.8106202807693,-5.4505489973063,"Exudophore",188879
"GPNJ7M_12_sample_2D",15.1782251372922,1.90882067507805,"Exudophore",195429
"GPNJ7M_13_sample_2E",-44.7629747921392,-18.0228172932806,"Nodule",115890
"GPNJ7M_14_sample_2F",25.2662000648181,33.6254540108915,"Nodule",596784
"GPNJ7M_15_sample_2G",22.2213891426462,27.8769808948738,"Nodule",532516
"GPNJ7M_16_sample_2H",32.2002966389126,25.550073743,"Nodule",1871076
"GPNJ7M_1_sample_1A",14.546239332641,-20.8452341081955,"Exuding.mycelium",1022622
"GPNJ7M_2_sample_1B",12.1628483434374,37.5438318371534,"Exuding.mycelium",461256
"GPNJ7M_3_sample_1C",-88.8060180558811,43.4751578754333,"Exuding.mycelium",62610
"GPNJ7M_4_sample_1D",0.410438521451586,-5.06752847145961,"Exuding.mycelium",647845
"GPNJ7M_5_sample_1E",2.90730572975555,-14.824579008694,"Fuzzy.mycelium",1022952
"GPNJ7M_6_sample_1F",4.06479371427308,-13.6723943386857,"Fuzzy.mycelium",357662
"GPNJ7M_7_sample_1G",19.9994008651028,-16.3468649209167,"Fuzzy.mycelium",838218
"GPNJ7M_8_sample_1H",12.2090593130436,-16.8795499654062,"Fuzzy.mycelium",909381
"GPNJ7M_9_sample_2A",-16.016663399924,-27.4879608036774,"Exudophore",147799
