"","GPNJ7M_10_sample_2B","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_13_sample_2E","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_3_sample_1C","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H","GPNJ7M_9_sample_2A"
"PTI98_002223",3.67625884096381,2.40888724623005,2.4702091161562,4.09679554709464,3.83380557441789,4.59879760819633,4.13460268887348,3.26531826519523,4.07761500606987,3.6431958178817,4.32401357515109,4.5093547474249,3.61369429179039,3.43400491609625,3.96506469467211,2.90895748214966
"PTI98_002242",3.67625884096381,3.98833596493257,3.88329361671541,2.72629527260855,3.0713943606811,1.80384974769659,3.62891649060657,4.44266706708121,3.35716568457202,4.55911037151993,3.32170940879807,3.73141391336032,3.81232156664583,4.79972976476338,3.79827303715296,2.13988040407563
"PTI98_002274",4.98741520838932,2.99421602527867,3.01232600861674,4.48148369476499,2.28171269733083,1.21957523730352,1.20881365061936,4.90886068490946,1.81948386060291,3.6431958178817,3.83814168728677,3.44682681393973,2.55805942519964,1.06344821758279,2.25275463565306,4.30485905152655
"PTI98_002311",-0.435236143934275,3.57594943854374,3.51313291805831,3.56987817648774,3.9474087533097,2.98497436653077,3.59483169826977,4.35123617969368,2.53493591875653,3.6431958178817,2.83153991602868,3.28002805451492,3.3830102146088,5.0951482826877,4.11448569525906,2.90895748214966
"PTI98_002336",3.16724568663611,2.214128008914,2.22995520557867,2.72629527260855,3.0713943606811,4.9421905875794,3.08513228405256,3.1763209388036,4.07761500606987,5.1143707921869,4.10151252774437,3.59617910560508,2.01638092212043,3.74794626302324,4.06638464953069,2.90895748214966
"PTI98_002403",-0.435236143934275,2.99421602527867,2.22995520557867,3.56987817648774,3.0713943606811,3.17152736493002,3.52412673524141,3.5973933545916,3.00488262121418,-0.435236143934275,3.51530387086723,2.87313783593008,1.63417008382904,3.94518755365002,3.73807029612316,-0.435236143934275
"PTI98_002423",5.15000854948688,5.78765897612065,6.55217983067345,5.43412427153245,7.16632876862811,7.62769808323055,8.32038436359285,5.92424535401888,7.49274429363922,5.82690608039342,6.78239196849768,6.84772539449562,5.45265292295567,6.45337800720036,6.41578250946176,6.03490541766121
"PTI98_002430",-0.435236143934275,0.87748654435738,-0.435236143934275,-0.435236143934275,6.24889382188107,5.21929476828609,7.36871200038241,-0.435236143934275,4.25500764668879,-0.435236143934275,1.43617407654287,-0.435236143934275,1.63417008382904,-0.435236143934275,-0.435236143934275,2.90895748214966
"PTI98_002435",7.02326277471304,5.01267643526024,5.68364462638859,6.49555022103459,2.85399055322697,2.98497436653077,2.36612051251448,6.5291619630858,1.81948386060291,5.1143707921869,5.37428012256262,5.11382525545031,6.01147355450058,4.20657454340744,3.60950432313633,6.98431225518608
"PTI98_002458",6.69490727144833,5.71746208564891,5.95926231734563,6.72649040614566,4.82077166402329,5.4869495153861,6.26598302814271,6.36543602424741,5.43857889598525,5.82690608039342,6.51570976361255,6.43880489406082,5.53904091105633,6.69121773732945,6.29597596508283,6.6314613965948
"PTI98_002459",3.16724568663611,2.57963655041187,1.9384459375399,3.56987817648774,1.87196421417127,2.20605879949126,3.19357769817554,2.96196166711598,-0.435236143934275,-0.435236143934275,2.07284359130655,3.73141391336032,2.76599995870132,3.74794626302324,3.13535465019864,3.77061047504498
"PTI98_002463",4.05104436923576,3.10919314935743,4.17729033528586,3.56987817648774,4.56050688589012,5.2607101080209,4.64237725469157,2.94404942239731,4.25500764668879,-0.435236143934275,4.51666826213927,3.85498502105491,2.31366048756776,4.49907387468958,4.24982627195736,2.90895748214966
"PTI98_002483",4.34801241239021,4.44508158878418,4.97358954774896,3.56987817648774,5.13984709224315,4.23282947198904,4.3939197362565,4.7645305263887,4.41290443387389,-0.435236143934275,4.21706185225431,5.01154044869791,4.52790034805246,4.59343081297052,4.55863195014618,5.25139254688631
"PTI98_002508",3.16724568663611,2.99421602527867,3.15496962230676,3.56987817648774,4.98912215816283,2.98497436653077,4.90263636731614,4.0189696318795,3.87520030700199,-0.435236143934275,3.51530387086723,3.96875452321367,2.94715333139559,4.78837888208346,4.65925580359302,-0.435236143934275
"PTI98_002513",3.16724568663611,3.79691186903517,3.15496962230676,3.56987817648774,4.05268007707383,3.61820257303069,3.95464449862003,2.94404942239731,5.01513340938522,-0.435236143934275,3.97585541987733,3.28002805451492,3.61369429179039,2.82232509984209,3.22614198999244,2.90895748214966
"PTI98_002515",-0.435236143934275,4.30834003568704,3.71012912026891,3.56987817648774,3.0713943606811,3.33643591219775,3.25113318800489,3.19154536019286,-0.435236143934275,-0.435236143934275,2.5032711810512,2.29902449796855,3.25200984814556,4.04408644487656,3.31148906244083,4.30485905152655
"PTI98_002519",3.16724568663611,3.40709052914367,3.15496962230676,2.72629527260855,4.82077166402329,4.31384779130008,4.7455612063036,3.78913149062367,3.87520030700199,4.55911037151993,2.07284359130655,3.28002805451492,2.94715333139559,4.00534005131755,4.20611296259997,3.40382873881287
"PTI98_002536",3.16724568663611,5.39652279785475,4.47629048563851,3.56987817648774,2.59691650049087,2.51641463307867,3.50326665945478,4.5106408204963,3.00488262121418,-0.435236143934275,2.83153991602868,3.0910995409317,3.71644530173349,4.06307474224801,2.821919687659,-0.435236143934275
"PTI98_002556",-0.435236143934275,0.87748654435738,3.01232600861674,-0.435236143934275,5.44019534888037,5.65165935679935,3.89993527904486,0.693566533278579,5.19968063187466,-0.435236143934275,2.5032711810512,1.28648662330652,-0.435236143934275,0.876192586852074,0.790672544732559,-0.435236143934275
"PTI98_002562",2.36613314755691,3.494010473673,3.51313291805831,2.72629527260855,5.0411349906006,3.8535381293991,4.77187272747979,4.10150836987199,3.35716568457202,4.55911037151993,3.97585541987733,3.73141391336032,4.14229459670225,4.5537468101496,4.62648957583483,3.77061047504498
"PTI98_002594",4.59404845974939,3.65345139699724,3.79932261681224,3.56987817648774,4.63011331499611,3.8535381293991,6.49763322802809,4.46152595315266,4.25500764668879,5.51421141575309,4.51666826213927,3.59617910560508,4.2141735517703,3.94518755365002,3.79827303715296,4.30485905152655
"PTI98_002623",5.15000854948688,4.98305336210808,5.95926231734563,5.43412427153245,6.15763526859461,5.2607101080209,5.23122398023888,5.17176086161772,4.91316831498643,3.6431958178817,5.3236829943975,6.03186368712776,5.6724287590375,5.48075845242237,5.58362327942491,4.99928765405488
"PTI98_002629",4.34801241239021,1.71352633728505,3.51313291805831,2.72629527260855,3.4263504680105,3.95815323961779,3.96229269008221,2.75121746566374,4.68464857930041,-0.435236143934275,3.68579444780808,1.28648662330652,2.94715333139559,3.43400491609625,2.25275463565306,2.13988040407563
"PTI98_002647",2.36613314755691,3.98833596493257,3.79932261681224,2.72629527260855,1.87196421417127,3.48424771564003,3.95464449862003,4.24636460252161,3.87520030700199,-0.435236143934275,4.10151252774437,3.0910995409317,3.61369429179039,3.92456351681688,3.96506469467211,3.77061047504498
