"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_10_sample_2B",-20.8033044113926,24.1703376382672,"Exudophore",7668
"GPNJ7M_11_sample_2C",5.89525404308622,6.32254786947111,"Exudophore",43956
"GPNJ7M_12_sample_2D",11.1791219533619,0.061040490299433,"Exudophore",32160
"GPNJ7M_13_sample_2E",-33.4543701070711,16.1205991349915,"Nodule",4890
"GPNJ7M_14_sample_2F",29.9185294556038,-25.3308722254083,"Nodule",28058
"GPNJ7M_15_sample_2G",26.2332635252387,-21.6196190009605,"Nodule",26624
"GPNJ7M_16_sample_2H",31.4930363389037,-19.978026795883,"Nodule",851479
"GPNJ7M_1_sample_1A",1.94625222990924,15.4000622811265,"Exuding.mycelium",291846
"GPNJ7M_2_sample_1B",23.2752560512955,-27.6281885816359,"Exuding.mycelium",13474
"GPNJ7M_3_sample_1C",-72.972795305649,-51.1497157492489,"Exuding.mycelium",1810
"GPNJ7M_4_sample_1D",2.12288489331509,7.25548564379758,"Exuding.mycelium",20775
"GPNJ7M_5_sample_1E",0.498117598905728,14.3171971783077,"Fuzzy.mycelium",25309
"GPNJ7M_6_sample_1F",-2.20089111446998,13.0456299022599,"Fuzzy.mycelium",29620
"GPNJ7M_7_sample_1G",5.36411544389014,12.5162616938396,"Fuzzy.mycelium",135937
"GPNJ7M_8_sample_1H",3.27595248680478,13.792468261729,"Fuzzy.mycelium",56183
"GPNJ7M_9_sample_2A",-11.7704230817322,22.7047922590473,"Exudophore",9181
