"","GPNJ7M_10_sample_2B","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_13_sample_2E","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_3_sample_1C","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H","GPNJ7M_9_sample_2A"
"AAD021_012358",3.63768765749033,4.68410234485975,4.63763847799039,2.6701298646917,3.84527784557737,3.93463791532804,3.74112584586699,4.50264525021514,4.31639107937332,-0.849599961798614,4.10012449591882,3.5607508395755,4.93248152727762,3.28651663168897,4.23666551949739,4.87937652594356
"AAD021_012373",3.11247074303513,4.42533409420078,4.915637012037,3.54723722748604,3.71844282845308,4.21506699582911,4.10044955461282,3.30369396393772,2.38826358887523,4.48784564367212,3.0655990284925,3.03856619810308,3.66471368322194,3.28651663168897,3.3943643387525,4.32075268947775
"AAD021_012378",4.02144634602583,4.83394803724007,4.29288287859227,3.54723722748604,3.84527784557737,3.82754550950395,3.06655546562601,3.38288726839623,4.31639107937332,-0.849599961798614,3.49841853964824,3.69970860278022,3.66471368322194,4.43492168092525,2.84227379352196,3.39578135259504
"AAD021_012383",3.63768765749033,6.14393988672052,8.44435011130168,-0.849599961798614,3.84527784557737,3.12458542404029,1.14796337326777,4.49080490748189,4.15619150492349,-0.849599961798614,3.83051301806627,2.8113939770527,2.20515063365825,1.42699044443497,7.37444064439616,4.32075268947775
"AAD021_012463",4.32411865279572,3.01847583502921,2.19144836472155,3.54723722748604,3.84527784557737,1.67737187293042,2.88296351296801,4.46682828078864,2.87661873293517,-0.849599961798614,2.78754196965954,4.56807137792071,3.94132853576561,3.80744401563875,4.70438847550334,4.53194396338858
"AAD021_012479",3.63768765749033,5.50461704462797,4.00654419642348,4.4795901084938,4.06964404561409,4.93523986449411,4.98397904439945,3.39567124389607,3.2396583879203,-0.849599961798614,3.49841853964824,3.82640917738166,3.85490279555233,3.18907563198186,2.59780410377968,4.0731878158956
"AAD021_012482",4.02144634602583,5.235119661494,4.78332894637581,5.04092536618427,3.71844282845308,4.37564595673199,3.1228616994477,4.49080490748189,3.2396583879203,4.48784564367212,3.67403672735178,4.15077674118598,4.17324284979809,4.02968040194296,3.53948524838306,4.32075268947775
"AAD021_012487",3.63768765749033,3.85278938502979,4.99754458190221,3.54723722748604,5.62675101162984,5.25717425608548,5.32906507500195,3.58609693359897,4.31639107937332,3.55512843459459,4.61201509733921,4.05056277075897,3.66471368322194,4.72796651091797,4.50714583754296,3.39578135259504
"AAD021_012492",2.2730203786878,3.44961729708822,2.85527011106922,-0.849599961798614,5.55443561265613,3.82754550950395,4.44389798170077,3.13083176071604,3.97591062939764,3.55512843459459,3.29828384275495,3.40689482201921,2.681239002354,2.56724030392616,2.59780410377968,2.88058282650849
"AAD021_012493",6.84200481573989,0.698920222266653,-0.849599961798614,7.66275006481079,1.12169897189107,-0.849599961798614,0.172735859781124,1.24407201102923,1.63353873018952,5.04931403649902,5.34046284581839,4.77053925556692,1.88862016794611,6.65552336785158,8.2797336962598,6.47988109839634
"AAD021_012507",2.2730203786878,5.85941308640387,3.74685843227938,2.6701298646917,5.07501870618121,1.67737187293042,4.57787108973223,2.21865351986159,5.42441344610586,5.76706706073081,1.28904771502706,3.82640917738166,1.47679618981206,2.56724030392616,1.4108498211298,2.06505176267449
"AAD021_012543",2.2730203786878,3.35337342163998,3.54337348919274,-0.849599961798614,5.26827864646785,2.70593669142827,3.51838896717109,3.06823972594214,3.52903847755092,-0.849599961798614,1.98242556601149,2.54098378552362,2.87026501405559,3.28651663168897,3.05088396244325,5.0260254439359
"AAD021_012559",-0.849599961798614,2.88681452308666,3.64871465584387,2.6701298646917,5.55443561265613,3.29541816972964,3.95728468196185,0.642153983710791,4.31639107937332,-0.849599961798614,4.10012449591882,1.76586128137706,0.874989509673013,1.64538715843571,3.67127782764956,-0.849599961798614
"AAD021_012574",3.11247074303513,1.94194078238683,0.86565515483498,4.08762225039852,2.82881686632005,2.1096287045258,3.28577202464718,4.57171420532804,1.63353873018952,-0.849599961798614,4.6957044788951,4.05056277075897,2.20515063365825,4.54373957988597,3.9559628684215,2.88058282650849
"AAD021_012603",5.13691825939851,3.53981089158656,4.29288287859227,3.54723722748604,3.4252736482078,3.12458542404029,4.39061944602321,5.00108824651712,3.2396583879203,3.55512843459459,4.10012449591882,4.70615909658993,4.2429287799067,4.84951672884099,4.47147833543587,4.71610311399553
"AAD021_012138",4.97257730580277,6.33197469571793,5.68194754917355,5.44393063673322,4.65828000276758,4.65139696397375,5.28366342769789,5.03815825293642,5.6212341167291,4.48784564367212,6.89908002360815,5.41879744426765,6.36249054610725,6.05564936003611,5.49008418814501,5.92886216476072
"AAD021_012148",6.03314090273424,4.60290164255613,4.15681959710968,6.13029893635444,2.82881686632005,3.44804205860155,2.79021518581483,5.82180555853917,3.52903847755092,4.48784564367212,4.32711923253229,5.57111933153745,5.01442313712283,4.34755091171248,5.15010142168184,5.49754742302658
"AAD021_012152",4.32411865279572,3.44961729708822,3.42968955551606,3.54723722748604,4.26370928077068,3.7118329476637,5.17513248639195,3.34383719616492,3.52903847755092,3.55512843459459,4.32711923253229,3.5607508395755,4.49217340211085,4.2545368930832,3.79199352432508,4.0731878158956
"AAD021_012157",3.63768765749033,4.16733459512016,2.19144836472155,-0.849599961798614,-0.849599961798614,-0.849599961798614,-0.295053046434626,-0.264335803787957,-0.849599961798614,3.55512843459459,2.44165011187967,3.03856619810308,0.874989509673013,2.14643723257907,5.34000773616212,2.88058282650849
"AAD021_012201",8.09690243593029,7.1541659948136,7.48486212327257,7.41629898065027,6.82554422349837,6.85564139823056,6.49062813957885,6.99526519834698,6.36978657819867,6.43416209125759,7.01759882013973,7.47033556914141,6.93574154684977,6.99897090787256,7.31030878980901,7.81141478269441
"AAD021_012209",4.57410236965758,4.60290164255613,4.41719512074258,4.08762225039852,1.7805586156567,2.43903669972379,2.79890075892099,4.43628530366305,1.63353873018952,3.55512843459459,3.29828384275495,3.234535746233,3.94132853576561,3.93289512228536,3.67127782764956,-0.849599961798614
"AAD021_012213",3.63768765749033,4.22276432479324,3.30621854500893,-0.849599961798614,4.26370928077068,3.58598413771719,4.22104802786765,3.36998834366038,3.7697658910408,3.55512843459459,2.78754196965954,3.03856619810308,2.20515063365825,3.85048817738278,2.59780410377968,3.39578135259504
"AAD021_012236",3.11247074303513,3.78069842115906,3.64871465584387,-0.849599961798614,4.06964404561409,4.21506699582911,4.11435914865525,3.0998780217508,4.15619150492349,-0.849599961798614,3.0655990284925,3.40689482201921,2.46315065780362,3.93289512228536,5.17248002252376,2.06505176267449
