"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAD021_003933",71.2005297572212,4.4204890443237,0.725431842387983,6.09359664964843,1.10401627676272e-09,1.77967423814151e-06
"AAD021_003372",304.838921679026,-22.8810014351942,3.82698500698049,-5.9788583946524,2.24706779565924e-09,1.81113664330135e-06
"AAD021_003738",51.4234894791027,4.13458549957302,0.807496309300269,5.1202531230834,3.0512582466455e-07,0.000163954276453085
"AAD021_010578",49.828297110472,3.21407428824595,0.648025044166586,4.95979949722393,7.05659755244496e-07,0.000227504705090825
"AAD021_002509",10.8072228437206,5.08412632698305,1.02252666388087,4.97212102781446,6.6224339231828e-07,0.000227504705090825
"AAD021_007143",35.181619311225,5.13805606647135,1.18141504300919,4.34906944589446,1.3671641692553e-05,0.00367311440139924
"AAD021_011253",25.910476962534,3.12441630981387,0.747791909634802,4.17818950640926,2.93838783694053e-05,0.00676668741878306
"AAD021_005114",12.8914636133888,4.84365272928309,1.17039288910914,4.13848441352878,3.49607618223117e-05,0.00704459350719582
"AAD021_009051",41.8475907865435,-5.43362187093915,1.33352561241086,-4.07462880380362,4.6087799529577e-05,0.00787688856589364
"AAD021_006923",99.7654470644793,-2.56020352975431,0.630437539323756,-4.06099473787766,4.88640729894146e-05,0.00787688856589364
"AAD021_010221",47.0821447504981,2.88618284440822,0.734070714740655,3.9317504246548,8.43295889139547e-05,0.0113282747774412
"AAD021_008339",42.7338907197092,-3.99906819518856,1.01265596007355,-3.949088686446,7.84492849072978e-05,0.0113282747774412
"AAD021_010525",75.5931320104025,2.22832485603542,0.588084264714658,3.78912511307646,0.000151178765420407,0.0174071549898354
"AAD021_005127",14.41423655791,3.78048898627951,0.993030845635454,3.8070207012153,0.000140650976042318,0.0174071549898354
"AAD021_011248",18.0628789328554,3.58847412889668,0.959371564028776,3.74044245571265,0.000183696600318145,0.0185074324820531
"AAD021_012694",20.8586501485867,3.16684507704083,0.84648914480051,3.74115261429271,0.000183178240620783,0.0185074324820531
"AAD021_004585",21.1920235438743,-3.89170000731939,1.09929283833225,-3.54018499131091,0.000399846652145342,0.0379148707798995
"AAD021_003972",16.1964415622109,3.07112281825131,0.877318371746993,3.50057962668196,0.000464247523258501,0.0393877372364581
"AAD021_003007",25.2489710709075,3.28023681225853,0.935130436186563,3.50778531563495,0.000451853532006067,0.0393877372364581
"AAD021_009285",60.5362297580354,2.21880024554395,0.637748516621675,3.47911471013297,0.000503073196417085,0.040547699631217
"AAD021_000828",39.5000007459386,-2.47651631463995,0.716978532331889,-3.45410106852902,0.000552130414623236,0.0423825823034599
