"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAD021_003933",71.2005297572212,-5.58142230704943,0.697311678873536,-8.00420023950535,1.20245587710318e-15,2.04778235870671e-12
"AAD021_003738",51.4234894791027,-5.81337552267752,0.826178476742446,-7.03646450050257,1.97178857212132e-12,1.6789779691613e-09
"AAD021_010578",49.828297110472,-3.74399406602405,0.605195319678663,-6.18642270401558,6.15448404607557e-10,3.4936954434889e-07
"AAD021_005830",10.4265969683089,-8.06267219176418,1.36526307801105,-5.90558136495573,3.51405295126463e-09,1.49610804400091e-06
"AAD021_011248",18.0628789328554,-5.99241781649879,1.02379456037139,-5.85314480897906,4.82363780566892e-09,1.64293103661083e-06
"AAD021_007296",45.5652964059826,-3.67803893360456,0.673713396516046,-5.45935252679358,4.77874077633788e-08,1.16259936315763e-05
"AAD021_002509",10.8072228437206,-5.20562486156936,0.95002139568344,-5.47948170980346,4.26573539552224e-08,1.16259936315763e-05
"AAD021_005114",12.8914636133888,-6.39754233182451,1.27387592071446,-5.02210790532599,5.11074553080428e-07,0.000108794995486996
"AAD021_004184",63.2302802668684,-4.43340261296943,0.902195233609024,-4.91401688660516,8.92290593462514e-07,0.000168841208962962
"AAD021_011253",25.910476962534,-3.20846332055276,0.684830640259265,-4.68504639240162,2.7989652719122e-06,0.000476663785806647
"AAD021_000084",21.8945384596828,-3.8638581056942,0.856127467258907,-4.51318086787385,6.38625154311555e-06,0.000988707852538708
"AAD021_007641",36.0018394241715,-3.77908447099411,0.893294347560708,-4.23050306017669,2.33169271487596e-05,0.00307040820934608
"AAD021_009051",41.8475907865435,5.4948786256465,1.29922969549311,4.22933577080916,2.34382306056953e-05,0.00307040820934608
"AAD021_004240",35.1650858605595,-2.77056342206023,0.685741268643411,-4.04024600640003,5.33951637447038e-05,0.00649514027551647
"AAD021_004154",121.70560567558,-2.59924639440932,0.647630502978429,-4.01347123468626,5.98322968981835e-05,0.00679296010784044
"AAD021_010422",64.9682816657141,-2.45968202230673,0.620410605303589,-3.96460344371954,7.35180611669678e-05,0.00761771980468638
"AAD021_009098",70.3704511670063,-2.30065997777459,0.58148273323865,-3.95654048910574,7.60430045094941e-05,0.00761771980468638
"AAD021_008339",42.7338907197092,3.84932158510222,0.981045117127866,3.92369475969831,8.72012083091921e-05,0.00825020320836412
"AAD021_008225",160.397889990367,-1.92453325594794,0.496778801922788,-3.87402451251747,0.000107052637875696,0.00959529696327949
"AAD021_009418",21.2352437529845,3.45672787701265,0.898798244213696,3.84594418076187,0.000120089101696077,0.00973865429468664
"AAD021_003372",304.838921679026,14.5340066366657,3.76757435728379,3.8576562154818,0.000114479512191931,0.00973865429468664
"AAD021_003007",25.2489710709075,-3.23360259357814,0.858800468507328,-3.76525480848704,0.00016637932250891,0.0128792721014852
"AAD021_005127",14.41423655791,-3.22362452701985,0.869932645794791,-3.7056024309499,0.000210888879004449,0.01512675336694
"AAD021_006564",10.7767624754282,6.56524904557067,1.77301853400808,3.70286543521307,0.000213177968764862,0.01512675336694
"AAD021_012493",69.3475613961625,8.15122212248043,2.22493520021399,3.66357731303656,0.000248717097671202,0.0169426086933623
"AAD021_000634",53.9316194364144,2.78064173948133,0.766048561595803,3.62985048061288,0.000283585440471653,0.0185748463508932
"AAD021_004957",59.6255672509102,-2.87542615222745,0.798781441632415,-3.59976584627597,0.000318503859355362,0.0200893360178586
"AAD021_008284",34.5262925987715,-2.06338707917164,0.57615801360546,-3.58128678322021,0.000341906102371526,0.0207952175835253
"AAD021_009185",39.6159987067888,3.10724292096537,0.872333735424524,3.56198871462104,0.000368056208800867,0.0216137835719958
"AAD021_010461",1424.41361774742,3.30525976973923,0.939856328263054,3.51677130891662,0.00043682997167215,0.0245154364522682
"AAD021_001731",50.9027810128553,3.51741029549224,1.00179761317041,3.51109869822968,0.000446258678814042,0.0245154364522682
"AAD021_010112",52.6681464326237,2.07765101410338,0.59342685793487,3.50110714795354,0.000463329519912592,0.0246578178878483
"AAD021_010736",135.447893238023,2.87859769425527,0.831674969223682,3.46120515920092,0.000537762821330125,0.0277518207492486
"AAD021_010525",75.5931320104025,-1.86614056089047,0.542855534709532,-3.43763753258772,0.000586812632526654,0.0293924092115556
"AAD021_003870",12.942740345391,-3.00775258314412,0.890434004553444,-3.37785009081332,0.000730548947079851,0.0355464244821996
"AAD021_009642",16.9366970417865,4.56067580892871,1.35931237083073,3.355134483284,0.000793264104306267,0.036511588368475
"AAD021_008423",29.8994088000551,-2.33603944240039,0.695154008533338,-3.3604631689157,0.000778119047217693,0.036511588368475
"AAD021_009285",60.5362297580354,-1.96986124318412,0.589422712647992,-3.3420178776866,0.000831717036342842,0.0372740556024173
"AAD021_004877",13.5875011658739,-2.66653733488161,0.804220039183809,-3.31568128740965,0.000914200243188538,0.0399200772858995
"AAD021_010221",47.0821447504981,-2.2168960360269,0.671362543371957,-3.30208477954759,0.000959690586872952,0.040858826736116
"AAD021_000934",13.7240783609797,-2.74951926534391,0.841610181067598,-3.26697481470114,0.00108703350433602,0.0451516599483961
"AAD021_006660",10.8540919878417,-2.4668175000606,0.759105854990684,-3.24963571792088,0.0011555292518713,0.0468539599032577
"AAD021_010942",82.6545215416649,2.62616656544215,0.812987132629562,3.23026830319929,0.00123674099344756,0.0488735326914716
"AAD021_007555",36.4707853288065,2.26036989018585,0.701038273966891,3.22431737912872,0.00126273366906914,0.0488735326914716
"AAD021_007937",194.37434523939,-1.52069187643,0.475024510377656,-3.20129139277679,0.0013681309944497,0.0517761574121741
"AAD021_010373",13.0522820964377,3.25123877270329,1.02646472357794,3.16741403578923,0.00153801173944594,0.0549019175010363
"AAD021_006923",99.7654470644793,1.91061080754853,0.601205273476224,3.17796747939551,0.00148311385073735,0.0549019175010363
"AAD021_000345",15.319925837983,-2.09796076117553,0.662729545728033,-3.16563638168695,0.00154744101001159,0.0549019175010363
"AAD021_008081",26.4630736002022,3.10369430743685,0.993082252415654,3.12531444388133,0.00177615087067852,0.0581689410147215
"AAD021_005344",17.9105982525539,3.15762736854284,1.00863919082143,3.13058167606127,0.00174460478326091,0.0581689410147215
"AAD021_003965",22.3994229814663,-2.01317056284597,0.642859848243573,-3.13158547441774,0.00173865167619439,0.0581689410147215
"AAD021_001523",38.147601692802,-3.12501950706307,0.997093668774131,-3.13412832207138,0.00172365460834486,0.0581689410147215
"AAD021_003306",98.6961382098161,7.14162551601424,2.29963512448046,3.10554724094663,0.00189927279753527,0.0610275768717466
"AAD021_008436",14.7121806716367,-2.0708237593598,0.66937899818692,-3.09364913594367,0.00197711154730736,0.0623522400937859
"AAD021_010249",33.5232757001304,-1.84195506165007,0.597044871097856,-3.08511998145642,0.0020347005476578,0.0630017278665679
"AAD021_011669",109.563022931218,-1.78010926390922,0.57962136874117,-3.07115879418885,0.00213229716647826,0.0648446799020087
"AAD021_003100",57.3904557512368,-1.79141358016357,0.584478611769813,-3.06497713361851,0.00217686639788046,0.0650386574664987
"AAD021_006457",12.5980224473098,4.69415481989692,1.53817663639424,3.05176577827944,0.00227499544387206,0.066798573119209
"AAD021_010634",93.130120268369,1.99122223554537,0.656989724505647,3.03082706056577,0.00243884892669712,0.0674713882009926
"AAD021_008915",68.9380859187471,2.72465421371239,0.898304214725134,3.03310857173935,0.00242048498038201,0.0674713882009926
"AAD021_007257",67.9496593329831,-1.51225254811934,0.497561380603202,-3.03932862772833,0.00237106057241661,0.0674713882009926
"AAD021_001602",84.8858406198609,-1.66864033033445,0.550949514479612,-3.02866285654236,0.00245638641718235,0.0674713882009926
"AAD021_003671",52.311403382619,-1.67504439545263,0.557212181047355,-3.00611589700742,0.00264608122129658,0.0693273279979704
"AAD021_000684",18.7036239298133,3.32956203739229,1.10586843404133,3.01081207754941,0.00260550050154938,0.0693273279979704
"AAD021_001516",21.5332884398881,-1.99975236802791,0.663641460364056,-3.01330234390554,0.0025842131863036,0.0693273279979704
"AAD021_005821",9.49377414821788,4.19693324624941,1.40023222381846,2.99731228496106,0.00272371542884053,0.0702801117472034
"AAD021_006081",15.9657047742483,-2.50629106590178,0.838886179584098,-2.98764138317828,0.00281139226033267,0.0714597167066647
"AAD021_006023",11.0165043669676,-3.07955596636002,1.03785475754589,-2.96723211409845,0.0030049401150591,0.0752560737639066
"AAD021_008132",110.417683287467,-1.62477797974138,0.549000681594244,-2.95951905746853,0.00308119643855086,0.0760475005051032
"AAD021_010720",67.5905849883897,4.11209825805518,1.39171527795974,2.95469793511467,0.0031297531708101,0.0761424235698513
"AAD021_007256",13.4053368138427,3.13212820003926,1.06656887712389,2.93663941187311,0.00331789649676141,0.0795827849856997
"AAD021_001223",103.271685969914,1.71107219934784,0.583825248028838,2.9307951396842,0.003380956600124,0.0799690151390442
"AAD021_007361",70.0019056125387,-1.72109211246577,0.59058407495971,-2.9142203209309,0.0035657815442526,0.0831852872583859
"AAD021_012574",17.9251511356492,2.85656298045702,0.986223795459773,2.89646527857839,0.00377392401916374,0.0853032137265815
"AAD021_011860",17.4694764876496,-1.94183332763802,0.670673611820107,-2.89534774205322,0.00378738713497479,0.0853032137265815
"AAD021_008795",366.367862908722,2.22728256383106,0.770058275857775,2.89235585625006,0.00382364591106545,0.0853032137265815
"AAD021_004227",11.6443276020549,4.60188595131157,1.5925507356813,2.88963224103681,0.00385692745563522,0.0853032137265815
"AAD021_003973",65.6706818765255,1.67182918749173,0.580010299182985,2.8824129327474,0.00394642183292015,0.0861635433520899
"AAD021_000456",19.1605650809144,-1.79046787494707,0.624359754368621,-2.86768623765264,0.00413485367556069,0.0891348836643019
"AAD021_000828",39.5000007459386,1.95146551512116,0.685798661994805,2.84553706979374,0.00443365985628817,0.0943815341907345
"AAD021_007869",67.1674324339939,2.49043355777729,0.877209349870532,2.83904128261384,0.00452493023824711,0.0951352616757387
"AAD021_011098",145.655966872369,-1.28070803000273,0.454933872173913,-2.81515206568997,0.00487541581996853,0.0965445714117024
"AAD021_010291",32.9220649832416,2.17155120749775,0.770730241670238,2.8175243296433,0.00483954479435466,0.0965445714117024
"AAD021_008697",31.2158686993926,2.8484402299402,1.00756821814281,2.82704454016084,0.00469797929881119,0.0965445714117024
"AAD021_007376",366.566720521688,-1.61184940280866,0.572495890835422,-2.81547768047128,0.0048704779957583,0.0965445714117024
"AAD021_007481",42.8053053445784,5.77150492037481,2.048731205053,2.81711183299203,0.00484576495789141,0.0965445714117024
"AAD021_000703",24.8222062543926,-1.92098635321589,0.685606614564726,-2.80187838391185,0.00508060222676601,0.099451328645776
"AAD021_010739",27.819462977177,2.1265261844426,0.763919956575483,2.7837028816153,0.0053742239895306,0.102038343897599
"AAD021_006803",15.7658344055932,-2.64754738927266,0.948987145556615,-2.78986643988711,0.00527297886864689,0.102038343897599
"AAD021_003861",28.7967631224889,-1.98558212072486,0.713570640177094,-2.78260064095697,0.00539251377027827,0.102038343897599
"AAD021_007182",14.454496275189,3.1761773386247,1.14882953968002,2.76470723368531,0.00569739048106936,0.1058819703221
"AAD021_002429",30.4487612585084,5.30449914636914,1.91954450157292,2.76341556135974,0.00571998900154622,0.1058819703221
"AAD021_008018",47.0377004922473,1.70610258652711,0.618639314170603,2.75783085142989,0.00581862978294952,0.106549747530785
"AAD021_009406",13.8241244360983,4.47791785035992,1.63737618258856,2.7348131101313,0.00624157024258805,0.113078660884334
"AAD021_008299",9.34216495366686,-2.14015812118157,0.788631489708817,-2.71376193965038,0.00665239527017115,0.116136410896049
"AAD021_008317",68.1811207341705,1.76104194297134,0.648691665828365,2.71475962423924,0.00663238910872627,0.116136410896049
"AAD021_006988",24.5984487640166,-1.6557685514226,0.610481331212114,-2.71223453817182,0.00668312875385367,0.116136410896049
"AAD021_001228",12.3201633562306,3.47880840785895,1.27825289808053,2.72153375367492,0.00649797487992319,0.116136410896049
"AAD021_008606",72.6105663306047,4.02201040147658,1.49539613847178,2.68959528382015,0.00715387208039334,0.123061052049595
"AAD021_003972",16.1964415622109,-2.05214341754368,0.767003941554038,-2.67553177547667,0.00746108001317308,0.124590560273044
"AAD021_004715",13.9788982962879,6.59994857957524,2.46157957066467,2.68118433311222,0.00733620924681356,0.124590560273044
"AAD021_001308",21.6002449165179,-1.68658308249887,0.630385575349757,-2.67547854590915,0.00746226491359396,0.124590560273044
"AAD021_010912",125.24507358314,-1.889843949366,0.709494394233205,-2.66364888112819,0.00772981981389257,0.127189596052269
"AAD021_004317",13.897252552713,-2.53138586551828,0.950926337290075,-2.6620209854868,0.00776730357571109,0.127189596052269
"AAD021_008593",84.0118153430661,1.58118330389209,0.59630192924469,2.65164881471188,0.00800998063231917,0.128483896714455
"AAD021_002191",22.0497783867426,-1.97418957841122,0.744974987699987,-2.65000786738663,0.00804898965101828,0.128483896714455
"AAD021_001617",17.9314552619628,-1.95320929592272,0.737334257235401,-2.64901471314541,0.00807268170783717,0.128483896714455
"AAD021_012507",27.3459979653263,-2.73887682950632,1.03989214778254,-2.63380854961418,0.00844330814547079,0.130286793392263
"AAD021_012558",28.1750576566942,6.12941337706185,2.34021358980512,2.61916835444591,0.00881444343105322,0.130286793392263
"AAD021_008411",47.1550425633179,-1.55529086845329,0.594785670060757,-2.61487615916237,0.00892598128079461,0.130286793392263
"AAD021_009129",10.8004846668038,-1.94466830909005,0.739331662374061,-2.63030573159216,0.00853081108214604,0.130286793392263
"AAD021_005318",22.4120494121759,2.67456099285755,1.0192256594902,2.62411073343202,0.00868755353552597,0.130286793392263
"AAD021_004576",19.7828993900289,-1.84026897340451,0.702846412756064,-2.61830883676034,0.00883667880213295,0.130286793392263
"AAD021_003082",27.0064018565171,1.59090541407271,0.607817003577462,2.61740853695937,0.00886002291000836,0.130286793392263
"AAD021_000583",12.9486059809435,-1.74694541962664,0.668083912421895,-2.61485928211282,0.00892642232804445,0.130286793392263
"AAD021_001038",9.36363532020886,3.17151476086912,1.20424222253799,2.63361863710859,0.00844803163805164,0.130286793392263
"AAD021_001193",50.0152917638104,1.48429830513382,0.567843830147847,2.61391993067418,0.00895100107275091,0.130286793392263
"AAD021_012479",28.3835342111613,-1.63853612547006,0.630765585415219,-2.59769423595209,0.00938520236940982,0.135449149450042
"AAD021_003290",19.3290369086362,2.0082825511519,0.777357721906614,2.58347282667524,0.00978111717925766,0.139976828203998
"AAD021_009735",56.7562399513072,-1.51517494587903,0.592656485572852,-2.5565820720151,0.0105706131906148,0.142193728475609
"AAD021_009772",13.3254932997538,2.40525021920509,0.93507140512441,2.57226368598564,0.0101035905900686,0.142193728475609
"AAD021_008318",44.7177264282698,1.6361715826855,0.641578959765359,2.55022637164394,0.0107652993383925,0.142193728475609
"AAD021_008738",13.3069043969594,-1.85367653515935,0.725436819993464,-2.55525565296789,0.010610983176349,0.142193728475609
"AAD021_009037",9.70350296410971,3.11730002575701,1.22037196286722,2.55438515518909,0.0106375515189936,0.142193728475609
"AAD021_009448",13.1678814784001,2.40118042868272,0.941871556689295,2.5493714207943,0.0107917297576337,0.142193728475609
"AAD021_006494",11.5247386251418,-1.77382390573037,0.691170353809895,-2.56640623538412,0.0102758403165411,0.142193728475609
"AAD021_002246",11.9266350439772,2.36453114035148,0.928232127042468,2.54734895665091,0.0108544830897412,0.142193728475609
"AAD021_002662",17.1078048209173,2.10238799607124,0.82179333123501,2.55829284098925,0.0105187471427726,0.142193728475609
"AAD021_003333",11.850926764412,-1.84774586254372,0.720421935065503,-2.56481066526065,0.0103232118872581,0.142193728475609
"AAD021_000354",22.0418417835021,-1.77175378231607,0.688796360438378,-2.57224614425729,0.0101041025768321,0.142193728475609
"AAD021_010760",22.8000419914427,2.34438939320294,0.922975858499239,2.54003327564268,0.0110841922539807,0.143359768143914
"AAD021_005271",46.8304556898424,1.72999812850487,0.682379017647136,2.53524519917091,0.0112368641933106,0.143359768143914
"AAD021_002919",15.7569877244597,4.08285580338881,1.61161463778371,2.53339458929434,0.0112963710345516,0.143359768143914
"AAD021_003156",11.2493180051768,2.67788406821021,1.05791295591883,2.53128960490364,0.0113643973572686,0.143359768143914
"AAD021_003353",16.2927593955548,-1.56153476444192,0.616508117426798,-2.53286975516155,0.011313298063386,0.143359768143914
"AAD021_012373",21.6812573341359,-1.47176153124204,0.584614683066148,-2.51748985079034,0.0118194374724241,0.145030223172756
"AAD021_011262",12.4633068391562,-1.73192351126956,0.686430181345537,-2.52308764727486,0.0116329402659925,0.145030223172756
"AAD021_010346",15.861838621071,-1.75661796572554,0.697644477300874,-2.5179271432374,0.0118047736582464,0.145030223172756
"AAD021_001225",19.6735619840954,-1.57343590871439,0.625135211587886,-2.51695294001718,0.0118374638995966,0.145030223172756
"AAD021_011210",23.2465727153122,2.45501570223837,0.979024505986576,2.50761414778317,0.0121549315288493,0.145297589994661
"AAD021_008464",82.0856735202236,-1.28383879223048,0.512246764874024,-2.5062897030618,0.0122005609919181,0.145297589994661
"AAD021_002626",17.522729967928,1.85702111999942,0.739713123716538,2.51046123214523,0.0120573560627654,0.145297589994661
"AAD021_000707",17.2220981854884,2.19491233383536,0.875334272810096,2.50751330321959,0.012158400475843,0.145297589994661
"AAD021_003712",17.7275508023303,-1.58054171730913,0.633392162159576,-2.49536039713566,0.0125829257086802,0.148263497643708
"AAD021_004460",9.88308895223684,3.48738628027346,1.39819183841413,2.49421158417644,0.0126237270454126,0.148263497643708
"AAD021_006805",25.3636585475235,-1.53870551074583,0.618419639561936,-2.48812523456692,0.01284185033126,0.14979226790504
"AAD021_012478",13.7849955990988,3.11228578563331,1.26051782214912,2.46905337706928,0.0135471009454966,0.152810959950826
"AAD021_011668",89.4915885290314,-1.66927063112907,0.6773858762154,-2.46428319476544,0.0137287591735034,0.152810959950826
"AAD021_010568",15.8691185019979,-2.05251650507454,0.832672565291531,-2.46497433760883,0.0137023064851288,0.152810959950826
