"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AAD021_012484",10.3451473662631,-4.81816731916481,1.05812660316627,-4.55348850009748,5.27635572037311e-06,0.00529439182410771
"AAD021_010188",15.9694615506667,5.42952278900843,1.20310706160364,4.51291739720264,6.39419302428467e-06,0.00529439182410771
"AAD021_007143",35.8057974085779,4.06972410499223,1.09291124620451,3.72374620457576,0.000196288254827032,0.104623278389935
"AAD021_000373",36.7547004503891,-4.00872748314117,1.09543201813226,-3.65949453438119,0.000252713232825929,0.104623278389935
"AAD021_007111",17.8655235328568,3.28097627514751,0.940110979287119,3.48998825397769,0.000483041777853343,0.128899365400272
"AAD021_005834",26.3454940554479,-4.04069934342804,1.16861849081787,-3.45767192216864,0.000544864467271682,0.128899365400272
"AAD021_001484",29.0672905496926,-2.97948783075762,0.858673409724027,-3.46987317531494,0.00052070417013369,0.128899365400272
"AAD021_007641",36.2000766240458,-2.81264170062522,0.847824650783349,-3.31748044601732,0.000908332734862552,0.188024876116548
"AAD021_009879",376.919733937451,-3.08522054085467,0.942006182130425,-3.2751595471244,0.0010560231466067,0.194308258975632
"AAD021_005830",10.2386667307994,-4.57095064055797,1.41789340212007,-3.2237618383183,0.00126518574538458,0.209514759435686
"AAD021_009019",10.9288433089711,3.56300859151064,1.16540820477015,3.05730522311997,0.00223336734883118,0.336223302696767
"AAD021_008852",33.9186493203822,-3.33792226763734,1.10773612498603,-3.01328284990204,0.00258437920571119,0.356644330388144
"AAD021_007391",8.36000819036253,-3.29441138100202,1.14140460745757,-2.88627832713956,0.00389827249704206,0.36235400299068
"AAD021_007418",12.8014834805698,-2.05239734346485,0.691480175956758,-2.96812174061979,0.00299625633028141,0.36235400299068
"AAD021_003603",19.0610000361778,2.78622723374323,0.966421409179323,2.8830355032276,0.00393863046729,0.36235400299068
"AAD021_002222",33.2048319015226,-2.75264198848111,0.95056881145496,-2.89578403510616,0.00378212586753589,0.36235400299068
"AAD021_003354",15.2995771532347,-2.58872270920985,0.879944983390087,-2.94191427654546,0.00326190210021978,0.36235400299068
"AAD021_000809",12.2863208881286,-3.10141757953657,1.06925083313088,-2.90055194107757,0.003725060962763,0.36235400299068
"AAD021_012191",9.86773826122115,-2.55584768086446,0.921704268280036,-2.77295849528162,0.00555492051240663,0.484155177291862
"AAD021_005821",9.56795105927613,2.94960129530445,1.07039491687763,2.75561967718281,0.00585810692757245,0.485051253602999
"AAD021_003372",308.246745899357,-8.40001135435203,3.10203181854405,-2.70790625168204,0.00677091456118439,0.533934976824826
"AAD021_012156",9.52411750135192,3.24806083320998,1.21404616828886,2.67540141227739,0.00746398222254625,0.561834298206208
"AAD021_010899",15.6309662122426,-3.01228228447609,1.13510114097088,-2.65375672329923,0.00796011932394373,0.563654061810617
"AAD021_011213",21.0636573561799,-2.79962748044624,1.06198478456575,-2.63622183776485,0.00838349036024522,0.563654061810617
"AAD021_000429",9.84107888894576,2.36184464024812,0.897642149463187,2.63116503793919,0.00850927025680279,0.563654061810617
"AAD021_006840",28.2556292303848,-5.26380098383509,2.05057687103774,-2.56698544598879,0.0102586918096817,0.653399755262805
"AAD021_009665",23.892051873636,-2.28645103201773,0.895683663351898,-2.55274392686944,0.0106878041824801,0.655518656525446
"AAD021_010541",15.9324221263087,2.39697152086205,0.943737934178015,2.53986984527625,0.0110893728426623,0.655857193837458
"AAD021_005254",28.3827798012574,1.52980921613433,0.623399365037464,2.45397942624211,0.0141285064573036,0.6881413733322
"AAD021_005650",7.8472416521424,2.60402071748754,1.03955411654767,2.50494002768747,0.0122472157771912,0.6881413733322
"AAD021_007296",45.9800360909364,-1.6068912121464,0.652487434998183,-2.46271594816362,0.013788910873144,0.6881413733322
"AAD021_006163",29.31624386012,1.58963673617455,0.647415894588182,2.45535636283028,0.0140744986694823,0.6881413733322
"AAD021_003435",7.25695228063688,-3.20631744577877,1.28793853370927,-2.48949570329615,0.0127924464802342,0.6881413733322
"AAD021_001496",9.3131547093582,-1.82400376444222,0.742031251214965,-2.45812256755451,0.0139665498331782,0.6881413733322
"AAD021_008939",17.1656809257952,-1.63746647234468,0.673187687573787,-2.43240704274645,0.0149988409747172,0.68994668483699
"AAD021_000082",13.5331912614012,-2.06768787684131,0.848801249362985,-2.43600946439828,0.0148502959693,0.68994668483699
"AAD021_002858",6.9496600215979,-3.36033969218865,1.40550633923442,-2.39083922881418,0.0168099120113743,0.752357142995564
"AAD021_011876",34.6442882036312,1.37404860584647,0.581061586852194,2.36472111896117,0.0180436524671306,0.786323381199166
"AAD021_011248",17.6990295066211,-2.41666067998008,1.04425782424809,-2.31423756074815,0.0206546946835289,0.791936438243423
"AAD021_010531",17.1505846831228,-4.99825884362444,2.16252536394911,-2.31130646000694,0.0208159334566522,0.791936438243423
"AAD021_007067",27.8687658571865,-4.3695335025959,1.89081704088383,-2.31092348340241,0.0208370816899548,0.791936438243423
"AAD021_007112",56.8291502669373,3.76168710243987,1.64149767467541,2.29161890417158,0.0219276436575954,0.791936438243423
"AAD021_004155",30.6573899154739,-1.89644736203144,0.831391891903761,-2.28105106689081,0.0225454252186352,0.791936438243423
"AAD021_004585",21.6192880902249,-1.78360951845591,0.784284078215468,-2.27418810096753,0.0229546793693746,0.791936438243423
"AAD021_002640",86.7621824109808,-1.20652299505889,0.52257438158148,-2.30880624382611,0.0209543353996025,0.791936438243423
"AAD021_003307",40.6098235454023,-1.87000647145099,0.811957030394089,-2.30308551000952,0.0212740324106303,0.791936438243423
"AAD021_000862",37.8232991400416,-1.50254472982217,0.659061012656458,-2.27982645152368,0.0226179835297795,0.791936438243423
"AAD021_001219",41.1032229443757,-2.34847472834587,1.01834047213018,-2.30617832897607,0.021100669964987,0.791936438243423
"AAD021_000245",103.19932406008,-3.66193602175715,1.61611321442095,-2.26589077366664,0.0234580716595964,0.792787074863096
"AAD021_000976",13.1082210888661,-1.74364075269386,0.774016525795978,-2.25271773222251,0.0242769521692318,0.804052655844958
"AAD021_003567",7.96961928428151,-2.42430828898836,1.09851411693652,-2.20689770992581,0.0273212064635971,0.887135645170916
"AAD021_004871",13.1454556324806,-2.02225633020903,0.924361820605278,-2.18773242807112,0.0286890984835274,0.913637444013873
"AAD021_006091",36.1940713108363,-2.05514371220806,0.957768030886849,-2.14576353138984,0.0318918495730328,0.996469865904573
"AAD021_012652",7.89416238887154,-0.0164318077414875,0.752678128759358,-0.0218311215825709,0.982582668665746,0.998966170102102
"AAD021_012358",30.5386354353979,-0.255681915670931,0.541029312830399,-0.472584219759423,0.636509842917424,0.998966170102102
"AAD021_012362",12.0424579708886,-0.318528169639084,0.661839421744932,-0.481277118246127,0.630319557408429,0.998966170102102
"AAD021_012364",10.437268867119,0.358675759230378,0.717121658921708,0.500160265372122,0.616962234212523,0.998966170102102
"AAD021_012373",21.751566825196,0.267986568254418,0.555472294979044,0.482448126894479,0.629487639674052,0.998966170102102
"AAD021_012378",24.1073711065314,0.0123734645768771,0.58378808900562,0.0211951302363038,0.983089998919683,0.998966170102102
"AAD021_012463",20.2158751639152,0.573362195707645,0.658235779215701,0.871058994074761,0.38372194236558,0.998966170102102
"AAD021_012478",13.9015105541985,0.244343412423318,0.96154839280296,0.254114524294555,0.799407082829246,0.998966170102102
"AAD021_012479",28.7489890388855,-0.028553112445348,0.607341154602188,-0.0470133008919023,0.962502626672296,0.998966170102102
"AAD021_012482",29.1437302879906,-0.0734054774794805,0.552039543716168,-0.1329714117676,0.894215989797613,0.998966170102102
"AAD021_012487",42.1828158536061,0.0979627610931365,0.534871185388243,0.183152063093526,0.854678706158903,0.998966170102102
"AAD021_012492",21.5796363055449,-0.770456520455628,0.639779610052711,-1.20425300892623,0.22849180313678,0.998966170102102
"AAD021_012493",70.458192489791,2.87078754560904,1.54706448626376,1.85563534752332,0.063505551822215,0.998966170102102
"AAD021_012507",27.9922538622859,-1.59104246705183,1.00272638365035,-1.58671646921243,0.112576874589585,0.998966170102102
"AAD021_012513",8.46361004340162,-0.431920843141973,1.25195457390208,-0.344997216469098,0.73009646335158,0.998966170102102
"AAD021_012542",18.0162242229245,-1.85268062606656,1.17410429608902,-1.57795234395947,0.114576558426064,0.998966170102102
"AAD021_012543",17.1802200278436,-0.033675134515337,0.717399869847143,-0.0469405361371368,0.962560620520057,0.998966170102102
"AAD021_012555",7.12759903176168,-1.90636572320374,2.41974582550337,-0.787837178232207,0.430791951305801,0.998966170102102
"AAD021_012558",28.427160661274,0.97238354604209,1.67679514660611,0.579905987925971,0.561978017497197,0.998966170102102
"AAD021_012559",20.0980400843292,-1.40535338688942,0.978781712722342,-1.43581900705994,0.151053849855642,0.998966170102102
"AAD021_012574",18.2644949465654,-0.356078096805096,0.708218308351308,-0.502780135173327,0.61511886152751,0.998966170102102
"AAD021_012584",8.49266870550906,1.19191518657904,0.766113296564942,1.55579493519207,0.119756862898224,0.998966170102102
"AAD021_012603",30.5540814192325,0.160693340734127,0.559352859955132,0.287284382075058,0.773894580167862,0.998966170102102
"AAD021_012615",12.443576248019,0.0854112152289485,0.66153618017402,0.129110421755739,0.89727027566388,0.998966170102102
"AAD021_012138",93.667465852869,-0.24901802464224,0.527992784609519,-0.47163149175685,0.637189844520319,0.998966170102102
"AAD021_012142",9.27777625027881,-0.537961525432242,0.759154651640461,-0.708632324480603,0.47855267155601,0.998966170102102
"AAD021_012147",10.0639409806502,1.01482840328209,0.708909159100727,1.43153518367491,0.152276890846221,0.998966170102102
"AAD021_012148",40.2141184194488,0.0878698416695854,0.580831505233473,0.151282843437125,0.879752602467801,0.998966170102102
"AAD021_012152",26.530505180539,0.291189476071385,0.571520063235147,0.509500006741806,0.610401793600638,0.998966170102102
"AAD021_012155",11.3992940496533,3.15828324971421,1.95323169309419,1.61695269479836,0.105888492492448,0.998966170102102
"AAD021_012157",11.099569423401,3.19246832408349,1.7126805703426,1.86401853291585,0.0623191017873324,0.998966170102102
"AAD021_012201",223.850954801878,0.312577869514047,0.379608159617241,0.823422420185117,0.410267817707518,0.998966170102102
"AAD021_012209",19.5284789566007,-0.0205057240913545,0.624549669276231,-0.0328328155471092,0.973807909290261,0.998966170102102
"AAD021_012213",18.411990484828,-0.317413913229776,0.623986905012617,-0.508686818072501,0.610971763598353,0.998966170102102
"AAD021_012233",7.69456231786289,-1.36365852255786,1.17256952404883,-1.16296602852955,0.244843285822412,0.998966170102102
"AAD021_012234",10.7930540898808,-0.0686481677421569,0.767988390483473,-0.0893869863044944,0.928774365494155,0.998966170102102
"AAD021_012236",24.1504084789909,0.664064673172704,0.666792818317027,0.995908556497041,0.31929457751722,0.998966170102102
"AAD021_012243",49.5086751400527,-0.702980668763974,0.689153985929933,-1.02006327049735,0.307698454800645,0.998966170102102
"AAD021_012246",10.6686494347179,0.314956680166471,0.806652689055507,0.390448931045215,0.696204611526828,0.998966170102102
