"sample","PC1","PC2","Tissue","mrna"
"GPNJ7M_11_sample_2C",-15.8769427243571,32.9267722405973,"Exudophore",48589
"GPNJ7M_12_sample_2D",-7.61100709218008,34.6621949506431,"Exudophore",35383
"GPNJ7M_14_sample_2F",37.5011760046081,-0.0881181119997685,"Nodule",31296
"GPNJ7M_15_sample_2G",30.779549409406,-1.41482180969431,"Nodule",29460
"GPNJ7M_16_sample_2H",35.338924714019,-7.31612186392843,"Nodule",977182
"GPNJ7M_1_sample_1A",-20.9963614958018,-10.499227674257,"Exuding.mycelium",323358
"GPNJ7M_2_sample_1B",37.2036706441448,-0.494970241853882,"Exuding.mycelium",14779
"GPNJ7M_4_sample_1D",-14.3459553204557,-12.8611812516339,"Exuding.mycelium",22458
"GPNJ7M_5_sample_1E",-21.3651960689405,-12.9731983527158,"Fuzzy.mycelium",27544
"GPNJ7M_6_sample_1F",-22.4490379685878,-2.45887187022091,"Fuzzy.mycelium",32980
"GPNJ7M_7_sample_1G",-18.7403302091623,-8.06961698679255,"Fuzzy.mycelium",150698
"GPNJ7M_8_sample_1H",-19.4384898926925,-11.4128390281438,"Fuzzy.mycelium",60988
