"","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H"
"AAD021_012652",2.84157593141221,1.89440764177741,3.40792573070434,2.57566346511674,2.98213677739068,3.28404081855211,4.4308238594698,2.96362573277677,4.41992962760212,3.36072870936351,3.49213896499218,2.65930866357545
"AAD021_012358",5.47350506294284,5.47817310686803,4.64215185021664,4.70697775970025,4.48407311264617,5.30433481476587,5.20235441858818,5.01112662576803,4.41992962760212,5.75934115216452,4.03253492040759,5.09957503478522
"AAD021_012362",4.35580943117313,3.90225637292884,2.09055598267484,4.08934415800992,3.58442778706449,3.73065224896748,3.79861771303625,4.59315467557982,3.91508274581449,3.74821781440161,4.11969342547512,3.06454843627952
"AAD021_012364",3.85425238124928,3.11227138339045,0.393138807152526,2.97140156493069,3.04362837386007,4.40934045802741,3.79861771303625,2.3154883718827,3.91508274581449,4.51522283544502,4.3044794896935,3.94456388983438
"AAD021_012373",5.21919335795135,5.75254989489927,4.51896161711854,4.98029348803901,4.83247361066052,4.13641076226235,3.33109351143865,4.00065551670751,3.91508274581449,4.51522283544502,4.03253492040759,4.27677218210017
"AAD021_012378",5.62109137013149,5.13891686847725,4.64215185021664,4.6029456750894,3.8375811641082,4.21278544131446,5.20235441858818,4.42155595573757,4.55511329922266,4.51522283544502,5.14282661430588,3.74397202605415
"AAD021_012383",6.91850503684484,9.26521729297573,4.64215185021664,3.92579970061594,2.08010510394648,5.29270092149721,5.04477331559687,4.74639729221719,3.69724485078838,3.11752393981896,2.31658708964064,8.21399530558656
"AAD021_012463",3.85425238124928,3.11227138339045,4.64215185021664,2.57566346511674,3.6637041580221,5.2691471942521,3.79861771303625,3.73199947889195,5.40602983241446,4.78495881075981,4.5328709068235,5.56018821691911
"AAD021_012478",0.393138807152526,2.81701832665094,4.38417828719491,3.52827685908055,3.92355647589692,5.27507185798054,3.33109351143865,0.393138807152526,3.12353916207889,5.84031944489938,3.44754801370016,3.51016369397334
"AAD021_012479",6.28397571411768,4.85816074920731,4.86072915875452,5.68707213876894,5.69764037859769,4.22512662398051,4.14946488985269,4.42155595573757,4.67864128235756,4.70055757453579,3.93969263393773,3.51016369397334
