"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTI98_006470",68.0910514651511,5.15241399215675,0.828301833111933,6.22045465334674,4.95716324259967e-10,3.80005900806378e-07
"PTI98_007076",33.6889586590475,-3.96840562445906,0.63801494228945,-6.21992583781635,4.97389922521437e-10,3.80005900806378e-07
"PTI98_010841",45.5454509605002,3.64871600614518,0.597752322042448,6.10405994522607,1.03407473576682e-09,4.0908529961074e-07
"PTI98_011128",38.2938197067673,6.65583692100558,1.09139505828947,6.09846715948778,1.07090392568257e-09,4.0908529961074e-07
"PTI98_001762",19.051503098636,7.31893941523692,1.22357536725229,5.98160081603524,2.20955231902062e-09,6.75239188692703e-07
"PTI98_009647",12.9438107800119,-6.34109010127284,1.07139207248358,-5.91855238071124,3.2478756999824e-09,8.27125678262183e-07
"PTI98_011030",35.2734808071599,-6.88274315790452,1.21088457982952,-5.68406210844102,1.31532473952302e-08,2.87116600284453e-06
"PTI98_006764",11.9159650384808,-5.64011696107347,1.00706890729195,-5.60052735243312,2.13700683115111e-08,4.08168304749861e-06
"PTI98_005957",19.2031443074891,4.98648158737173,0.89617885879876,5.56415891583921,2.63419812703524e-08,4.47228304234427e-06
"PTI98_004077",85.9381389645963,-5.2078372628159,0.949061751059936,-5.48735343827697,4.08000280399802e-08,6.23424428450897e-06
"PTI98_012427",49.0599145071188,-5.36623842896696,0.990104411901186,-5.41987124232966,5.9641975269791e-08,8.28481256474916e-06
"PTI98_002438",8.25252687342253,7.3611883653889,1.3820553274583,5.32626170540269,1.00254655906201e-07,1.13720507870174e-05
"PTI98_005620",18.7676897892839,4.60717516997952,0.866131992948999,5.31925296315756,1.04194182603563e-07,1.13720507870174e-05
"PTI98_011332",86.5717794130004,8.35612655310153,1.56546597358639,5.33778868023438,9.40870258235915e-08,1.13720507870174e-05
"PTI98_000185",12.034733594937,-7.43360456689659,1.41183065269745,-5.26522395068692,1.40018566050732e-07,1.35775175061687e-05
"PTI98_012052",421.716907102074,4.93715651548566,0.93819160104709,5.2624181563504,1.42172958179777e-07,1.35775175061687e-05
"PTI98_000546",41.0769248345429,4.35490222098854,0.844354116553502,5.15767275318613,2.50038123237791e-07,1.99472965402334e-05
"PTI98_001293",25.2804523001481,5.47764786213472,1.06371064118914,5.14956572777271,2.61090268851223e-07,1.99472965402334e-05
"PTI98_009955",120.281034496427,-2.33979186776985,0.453721403484995,-5.1568911005699,2.51083729171676e-07,1.99472965402334e-05
"PTI98_012703",14.0277011966291,-4.49945375219286,0.871938060987804,-5.16029056822626,2.46566852799931e-07,1.99472965402334e-05
"PTI98_000442",62.3475804857804,-3.55604905009297,0.698345044457391,-5.09210894860146,3.54102518442365e-07,2.5765173722854e-05
"PTI98_002730",9.91852739762547,-5.70084891066567,1.12310232538786,-5.07598353399982,3.85496678213002e-07,2.67744965595212e-05
"PTI98_003992",10.5656861504635,-5.57004311808237,1.1054611912878,-5.03866002893653,4.68802354842228e-07,3.1144782530388e-05
"PTI98_003634",102.099420440828,3.34270098997082,0.668692164034518,4.99886370703496,5.76691457058582e-07,3.65144565224495e-05
"PTI98_008389",19.0940530883117,4.19204860470244,0.84036920306516,4.98834154013781,6.08998336943855e-07,3.65144565224495e-05
"PTI98_008643",48.6228758297438,8.10895391981514,1.62684380544486,4.98446986285677,6.21319286376758e-07,3.65144565224495e-05
"PTI98_005784",21.1042606333754,4.29624652222385,0.869232678491754,4.94257363825583,7.70979697064589e-07,4.36317398931367e-05
"PTI98_002556",22.0585027979578,5.9161519496121,1.20824217291178,4.89649515821367,9.75610508755857e-07,5.32404591921053e-05
"PTI98_000513",57.2307167945256,7.12048532997883,1.45710041212223,4.88674992522172,1.02514170146921e-06,5.40143627532743e-05
"PTI98_007898",45.4904065254406,-8.59008560614675,1.77186676457642,-4.84804262819404,1.24685611898981e-06,6.35065383272144e-05
"PTI98_009953",10.734165874443,-6.07989198260205,1.2575762004189,-4.83461119936655,1.33406115799673e-06,6.57563048199677e-05
"PTI98_008704",45.5289403713834,-3.70882972968211,0.778989126605767,-4.76108022950503,1.92559473162243e-06,9.19471484349713e-05
"PTI98_011177",10.2289988619379,-5.16446072291724,1.08653623084584,-4.75314175110097,2.0027982579752e-06,9.27356284298822e-05
"PTI98_003276",238.113935112906,3.89230000242832,0.82223711046952,4.73379266499625,2.20362833932055e-06,9.90336500729942e-05
"PTI98_011922",15.1372495149317,-5.80025318498158,1.22861623900273,-4.72096412276763,2.34729343946234e-06,0.000102476125014241
"PTI98_010242",38.1668247074758,-2.91606704084014,0.619343483297909,-4.70831956657157,2.49767315582614e-06,0.000106012349502843
"PTI98_011099",50.9048811901454,-3.16962565623846,0.676557900512059,-4.68492889350564,2.80057141911391e-06,0.000115656030497461
"PTI98_003749",51.210198781953,3.34786505907493,0.718215446153472,4.66136599679804,3.14117558283618e-06,0.000126308323436149
"PTI98_011070",56.0850318296922,-8.49952195949112,1.82947691724062,-4.6458754846226,3.38637220737718e-06,0.000132676326483906
"PTI98_004083",17.7890973363168,-5.88314872159402,1.2725440271625,-4.62313962897784,3.77975112145847e-06,0.000137582145582124
"PTI98_010166",14.3432824824863,4.17699600187489,0.903518672460364,4.62303229495031,3.78170819008456e-06,0.000137582145582124
"PTI98_010403",27.9505800088377,4.31752675536157,0.932125802990818,4.63191421319778,3.62300281479759e-06,0.000137582145582124
"PTI98_001457",19.8537544428926,4.12958204210685,0.895686908012974,4.61051959692932,4.01663772766281e-06,0.000142730754601599
"PTI98_012078",12.8877387360905,-6.33865355563796,1.37633194888684,-4.60546858682209,4.11538108985923e-06,0.000142915961484202
"PTI98_006682",227.600054657491,2.91214795621899,0.634186723289189,4.59194090521988,4.39142728663931e-06,0.000149113353199664
"PTI98_007893",53.0502978263349,4.30512885510984,0.946494670257643,4.54849772575893,5.40302271854461e-06,0.000179474319868178
"PTI98_010297",18.6605945850163,3.93716827217559,0.87045656646185,4.52310709560044,6.09383862568925e-06,0.000197694988983714
"PTI98_013289",19.8585763419758,4.68316496825982,1.03630484993272,4.51909973070556,6.21031379006431e-06,0.000197694988983714
"PTI98_011702",132.786810004141,3.02821399230072,0.677239289407683,4.47140920449138,7.77058499603465e-06,0.000242315385182468
"PTI98_008161",36.2417886276862,4.24718581042767,0.951036647737648,4.46584873519963,7.97519458448398e-06,0.00024372194650183
"PTI98_007539",30.312295137582,-4.21652770780411,0.946195994163171,-4.45629418620956,8.33885815561942e-06,0.000249838730623264
"PTI98_012754",7.26246985338826,4.86902136424101,1.09611593763107,4.44206784800879,8.90984540783352e-06,0.00026181238044557
