"","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H"
"AAD021_012617",1.15306867684101,0,2.02852830077597,1.83866492297791,0,0.155507225825779,3.60336332728325,0,0,0,0,0
"AAD021_012618",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012619",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012620",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012621",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012622",2.30613735368203,1.63755577185675,0,0,1.11339479990978,1.39956503243201,0,0,0,1.58081400263398,1.28289586961882,1.97357721215232
"AAD021_012623",1.15306867684101,0,0,0,1.30987623518798,2.33260838738669,0,0,0,1.58081400263398,1.92434380442824,1.97357721215232
"AAD021_012624",0,0,0,0,0.196481435278197,0,0,0,0,0,0,0
"AAD021_012625",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012626",0,0,0,0,0.982407176390986,0.777536129128896,0,0,0,0,0,1.97357721215232
"AAD021_012627",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012628",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012629",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012630",0,0,0,0,0,0.155507225825779,0,0,0,0,0,0
"AAD021_012631",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012632",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012633",0,0,6.08558490232792,0,6.9423440464963,0.155507225825779,0,0,0,0,0.320723967404706,1.97357721215232
"AAD021_012634",0,0,0,0,0.0654938117593991,0,0,0,2.10858358113276,0,0,0
"AAD021_012635",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012636",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012637",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012638",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012639",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012640",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012641",13.8368241220922,3.2751115437135,4.05705660155195,12.8706544608454,5.30499875251133,4.5097095489476,3.60336332728325,2.65745350199809,2.10858358113276,11.0656980184378,5.1315834784753,2.96036581822848
"AAD021_012642",0,0,0,0,0.0654938117593991,0.155507225825779,0,0,0,1.58081400263398,0,0
"AAD021_012643",0,0,0,0,0,0.155507225825779,0,0,0,0,0.320723967404706,0.986788606076158
"AAD021_012644",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012645",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012646",2.30613735368203,4.91266731557024,2.02852830077597,0,0.72043192935339,4.66521677477338,0,2.65745350199809,2.10858358113276,3.16162800526796,1.60361983702353,1.97357721215232
"AAD021_012647",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012648",1.15306867684101,0,2.02852830077597,0,1.17888861166918,0.155507225825779,0,0,0,0,0.320723967404706,0
"AAD021_012649",1.15306867684101,0,0,0,0.458456682315794,1.08855058078045,0,0,0,0,0.320723967404706,0
"AAD021_012650",0,0,0,1.83866492297791,0.261975247037596,0.311014451651558,0,0,0,0,0,0
"AAD021_012651",2.30613735368203,1.63755577185675,0,0,0.785925741112789,0.466521677477337,0,2.65745350199809,0,1.58081400263398,0.962171902214119,0
"AAD021_012652",4.61227470736406,1.63755577185675,8.11411320310389,3.67732984595582,5.37049256427073,7.15333238798584,18.0168166364163,5.31490700399617,18.9772522301948,7.90407001316989,8.33882315252236,3.94715442430463
"AAD021_012653",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012654",1.15306867684101,1.63755577185675,2.02852830077597,0,1.17888861166918,0.777536129128896,0,0,2.10858358113276,0,1.60361983702353,5.92073163645695
"AAD021_012655",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012656",0,0,0,1.83866492297791,0.196481435278197,0.155507225825779,0,0,0,1.58081400263398,0,0
"AAD021_012657",0,0,0,0,0.0654938117593991,0,0,0,0,3.16162800526796,0,0
"AAD021_012658",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012659",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012660",0,0,0,0,0.0654938117593991,0,0,0,0,0,0,0
"AAD021_012661",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012662",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012663",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012664",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012665",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012666",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012667",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012668",0,0,0,0,0,0.155507225825779,0,0,2.10858358113276,0,0.320723967404706,0
"AAD021_012669",0,0,0,0,0.0654938117593991,0,0,0,0,0,0,0
"AAD021_012670",0,0,0,0,0.0654938117593991,0,0,0,0,0,0,0
"AAD021_012671",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012672",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012673",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012674",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012675",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012676",0,0,0,0,0,0.155507225825779,0,0,0,0,0,0
"AAD021_012677",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012678",0,0,0,0,0.0654938117593991,0,0,0,2.10858358113276,0,0,0
"AAD021_012679",0,0,0,0,0.0654938117593991,0,0,0,0,0,0,0
"AAD021_012680",0,0,0,0,0.0654938117593991,0,0,0,0,0,0,0
"AAD021_012681",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012682",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012683",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012684",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012685",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012686",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012687",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012688",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012689",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012690",0,0,0,0,0,0,0,0,0,0,0,0
"AAD021_012691",0,0,0,0,0,0,0,0,0,0,0,0
