gene,tau,mean_Fuzzy mycelium,protein_name,EC,KEGG
AAD021_012493,0.951,190.694,,,
AAD021_003650,0.94,114.895,,,
AAD021_009305,0.935,174.518,Albumin-2,,
AAD021_005821,0.93,25.081,,,
AAD021_003655,0.891,286.506,,,
AAD021_007111,0.88,44.382,,,
AAD021_006565,0.867,53.882,,,
AAD021_005461,0.864,23.04,,,
AAD021_007112,0.861,139.153,Ostreolysin A6,,
AAD021_008145,0.86,15.207,,,
AAD021_006564,0.849,24.189,Decarboxylase iboD,4.1.1.- {ECO:0000305|PubMed:32233056},
AAD021_008144,0.845,18.78,Dye-decolorizing peroxidase,1.11.1.19 {ECO:0000269|PubMed:23111597};1.11.1.7 {ECO:0000269|PubMed:23111597},
AAD021_009019,0.843,26.024,,,
AAD021_003603,0.839,44.384,,,
AAD021_010188,0.826,37.914,,,
AAD021_010720,0.823,148.757,Fruiting body differentiation protein 16,,
AAD021_010541,0.817,35.834,,,
AAD021_001320,0.801,11.508,,,
AAD021_009402,0.771,16.333,,,
AAD021_002429,0.769,60.639,Lytic polysaccharide monooxygenase-like protein X325,,lbc:LACBIDRAFT_291896
AAD021_000016,0.76,18.091,,,
AAD021_001646,0.755,88.375,,,
AAD021_008427,0.754,35.43,Extracellular metalloprotease 1,3.4.24.-,cpw:9696034
AAD021_009642,0.749,32.966,,,
AAD021_012156,0.747,20.053,,,
AAD021_004020,0.738,11.5,,,
AAD021_002676,0.736,80.748,Subtilisin-like serine protease AsES,3.4.21.- {ECO:0000269|PubMed:23530047},
AAD021_010760,0.734,44.611,,,
AAD021_008697,0.732,59.854,Elongation factor 2,3.6.5.- {ECO:0000250|UniProtKB:P32324},
AAD021_000429,0.731,20.18,,,
AAD021_008450,0.73,13.463,,,
AAD021_009448,0.727,25.518,,,
AAD021_009741,0.727,15.391,Chitinase 1,3.2.1.14,
AAD021_009037,0.725,18.485,Calcium-transporting ATPase 2,7.2.2.10 {ECO:0000255|RuleBase:RU361146},cng:CNAG_01232
AAD021_010429,0.725,15.847,,,
AAD021_007560,0.719,29.735,Extracellular metalloproteinase MEP,3.4.24.-,mgr:MGG_13252
AAD021_011210,0.716,44.722,Hybrid signal transduction histidine kinase J,2.7.13.3,ddi:DDB_G0277883
AAD021_002044,0.707,30.844,,,
AAD021_004452,0.706,26.691,,,
AAD021_012157,0.7,22.474,,,
AAD021_009185,0.699,72.765,Glycerophosphocholine permease GIT4,,cal:CAALFM_C500870CA
AAD021_001731,0.699,93.711,Appressoria-specific virulence factor GAS1,,mgr:MGG_12337
AAD021_007256,0.697,24.81,Strobilurin A biosynthesis cluster protein l1,,
AAD021_004461,0.692,36.658,,,
AAD021_003231,0.692,18.578,,,
AAD021_009640,0.689,14.966,"Sterol-4-alpha-carboxylate 3-dehydrogenase ERG26, decarboxylating",1.1.1.170 {ECO:0000269|PubMed:9811880},sce:YGL001C
AAD021_006960,0.687,32.363,,,
AAD021_010294,0.687,18.218,,,
AAD021_009418,0.684,38.285,Serine/threonine-protein kinase ssp1,2.7.11.1,spo:2538951
AAD021_000229,0.684,32.539,Class I hydrophobin 6,,
