"gene","module"
"AAD021_012641","violet"
"AAD021_012652","purple"
"AAD021_012357","turquoise"
"AAD021_012358","saddlebrown"
"AAD021_012359","tan"
"AAD021_012360","turquoise"
"AAD021_012362","pink"
"AAD021_012364","pink"
"AAD021_012368","purple"
"AAD021_012370","darkolivegreen"
"AAD021_012371","midnightblue"
"AAD021_012373","darkmagenta"
"AAD021_012375","turquoise"
"AAD021_012376","darkred"
"AAD021_012378","lightcyan"
"AAD021_012379","greenyellow"
"AAD021_012380","greenyellow"
"AAD021_012381","red"
"AAD021_012382","brown"
"AAD021_012383","lightcyan"
"AAD021_012386","salmon"
"AAD021_012400","brown"
"AAD021_012402","blue"
"AAD021_012405","brown"
"AAD021_012406","magenta"
"AAD021_012414","magenta"
"AAD021_012415","tan"
"AAD021_012417","black"
"AAD021_012418","darkolivegreen"
"AAD021_012419","salmon"
"AAD021_012443","paleturquoise"
"AAD021_012453","magenta"
"AAD021_012455","tan"
"AAD021_012458","turquoise"
"AAD021_012463","tan"
"AAD021_012464","yellow"
"AAD021_012467","turquoise"
"AAD021_012473","lightgreen"
"AAD021_012477","turquoise"
"AAD021_012478","black"
"AAD021_012479","violet"
"AAD021_012480","turquoise"
"AAD021_012481","greenyellow"
"AAD021_012482","lightcyan"
"AAD021_012483","salmon"
"AAD021_012484","brown"
"AAD021_012486","mediumpurple3"
"AAD021_012487","darkgreen"
"AAD021_012492","brown"
"AAD021_012493","blue"
"AAD021_012506","lightyellow"
"AAD021_012507","darkolivegreen"
"AAD021_012509","lightcyan"
"AAD021_012513","brown"
"AAD021_012514","sienna3"
"AAD021_012517","sienna3"
"AAD021_012521","turquoise"
"AAD021_012527","green"
"AAD021_012529","red"
"AAD021_012534","magenta"
"AAD021_012535","turquoise"
"AAD021_012542","brown"
"AAD021_012543","lightgreen"
"AAD021_012545","saddlebrown"
"AAD021_012553","midnightblue"
"AAD021_012555","brown"
"AAD021_012556","lightgreen"
"AAD021_012558","purple"
"AAD021_012559","brown"
"AAD021_012568","paleturquoise"
"AAD021_012574","grey60"
"AAD021_012575","blue"
"AAD021_012576","royalblue"
"AAD021_012577","black"
"AAD021_012579","blue"
"AAD021_012580","darkolivegreen"
"AAD021_012584","blue"
"AAD021_012585","blue"
"AAD021_012588","orangered4"
"AAD021_012589","purple"
"AAD021_012603","blue"
"AAD021_012604","white"
"AAD021_012609","purple"
"AAD021_012615","cyan"
"AAD021_012135","black"
"AAD021_012136","turquoise"
