"","Exuding mycelium","Exudophore","Fuzzy mycelium","Nodule"
"MEdarkturquoise",-0.137574206832243,-0.458291611850508,0.0181858453046565,0.512210584016326
"MEbrown",0.00633275900511394,-0.388529060143628,-0.479445727320643,0.850014210337144
"MEdarkgreen",0.0443633455151447,-0.178972613467886,-0.447768978176602,0.597140874428971
"MEdarkgrey",0.138348122235063,0.110888765068905,-0.245392134888324,0.0333631431746828
"MEskyblue",-0.187543661032269,0.0871126871071343,-0.00188870198590741,0.114625155670935
"MEgreenyellow",0.386618897409065,-0.920714442916354,0.119969816090518,0.275199332838282
"MEdarkred",0.209698310185118,-0.551516080138911,0.365578536760886,-0.13302034538764
"MEmediumpurple3",-0.228857251337792,-0.497268398620004,0.0114383058624536,0.644385295933506
"MEgrey60",-0.0563291070608911,-0.44540637942818,0.415221589811131,-0.012362128634463
"MEpurple",0.286635471673714,-0.723141946920998,0.257525819991982,0.0553874190428764
"MEpink",0.285106605894998,0.044730340425821,0.250923542521156,-0.596775306071925
"MEsalmon",0.430595790741928,-0.58884936200926,0.343959244401542,-0.298250348454668
"MEtan",0.259635970046378,0.0401220742441948,0.270173393677047,-0.588295089720325
"MEblue",-0.0100444319730715,0.0118804774081338,0.611340444926911,-0.665723832369294
"MEwhite",0.343572517199172,0.196180561264193,0.337150897846616,-0.879461268025103
"MEmidnightblue",-0.206227613249833,0.257449796057802,0.270868352028099,-0.31023400285932
"MEturquoise",-0.456741255421888,0.139583631118939,0.254440348874275,0.0596072269413925
"MEskyblue3",-0.511939906671938,0.198263945174056,0.0327229965951607,0.305677185152282
"MEsienna3",-0.501585121348821,-0.337319828795749,0.519261792123078,0.226603168464841
"MEcyan",-0.421825474580473,0.280701941251838,0.418291102974796,-0.27514196457173
"MEgreen",-0.701355614189044,0.286502314627893,0.332535251554327,0.0927551544565987
"MEplum1",0.286873233450599,0.343261681838091,-0.00204701683587586,-0.580077340931601
"MEred",0.358061414722752,-0.0861441094586726,-0.343579666549479,0.0901217940307889
"MEorangered4",-0.0943462408547407,0.399236716092126,0.132254401136128,-0.393242370403281
"MEsteelblue",-0.00437803665322058,0.282314870986514,-0.0689397457913117,-0.163547828534706
"MEmagenta",-0.161187548139985,0.14310236245933,-0.189765819710836,0.244615501743795
"MEpaleturquoise",-0.480188411782489,0.0525763978609911,0.0618126352444521,0.367644779486809
"MEdarkorange",-0.0360984618278554,-0.349494014557035,-0.0556188237950352,0.397445122886028
"MEorange",-0.134702818450368,-0.490077034212288,0.249852456258536,0.284489070502364
"MElightyellow",-0.133516548581049,0.284948714994294,0.343827756810086,-0.486040508058288
"MEblack",-0.459775844499685,0.0866718887781462,0.211733816100214,0.154673977100189
"MEroyalblue",-0.210317328549529,0.267546769934935,0.201952554139436,-0.23980836124523
"MEviolet",-0.33525656329327,0.426325050877703,-0.256778412424361,0.247879308333908
"MEdarkmagenta",-0.544900665267078,0.468528305258554,-0.365086089295807,0.539111096029888
"MElightgreen",-0.221695164220273,0.252893210446146,-0.293315380295833,0.32336068387439
"MElightcyan",-0.180763740593667,0.909760733321379,-0.0692919513660818,-0.526798108501856
"MElightsteelblue1",-0.294913697336388,0.854359069377935,-0.315745504577936,-0.0966613466180353
"MEsaddlebrown",-0.0986239828196085,0.839368443806078,-0.399271545728134,-0.189117548847164
"MEyellow",0.00792006295518869,0.431439133092243,-0.687521725173382,0.369235103741959
"MEdarkolivegreen",-0.285901653213539,0.546346263204617,-0.52105478585859,0.382934259463155
"MEyellowgreen",-0.220407322667383,0.524528082477332,-0.11658705659665,-0.104110661666676
"MEgrey",0.326689631384277,0.210110017202538,-0.320286368483378,-0.158839908893203
