"","Exuding mycelium","Exudophore","Fuzzy mycelium","Nodule"
"MEdarkturquoise",0.669838033617146,0.134036391817054,0.955265500568506,0.0886537890567134
"MEbrown",0.984416309188054,0.211979311893606,0.114748163173642,0.000462094580488093
"MEdarkgreen",0.891110564205721,0.577835979393965,0.14436847475456,0.0403560509355231
"MEdarkgrey",0.668074388961546,0.731534517523949,0.442038550367475,0.91801712195067
"MEskyblue",0.559437452851695,0.787775480328824,0.995352044563476,0.722798315903986
"MEgreenyellow",0.214430688954402,2.15749656854436e-05,0.710354613982874,0.386644095066679
"MEdarkred",0.513029855007437,0.0630472798204162,0.242563606929414,0.680246419201368
"MEmediumpurple3",0.474319248036923,0.0999971136453032,0.971855954073986,0.0237058394050236
"MEgrey60",0.861962375244562,0.146756645621842,0.179506948449468,0.96958377217482
"MEpurple",0.366387351376028,0.00786853763842223,0.419044860804622,0.864251022077372
"MEpink",0.369062611500681,0.890214560328801,0.431482094754204,0.0405104498200423
"MEsalmon",0.162304423910008,0.0439620465358594,0.273627335176366,0.34639806726252
"MEtan",0.41510760927136,0.901473704650338,0.395724145264173,0.0442109472738352
"MEblue",0.975284605571699,0.970768389188125,0.0346767982066927,0.0181221525859989
"MEwhite",0.274202821446446,0.54114399613183,0.283860109434531,0.000163146279485939
"MEmidnightblue",0.520186547972898,0.419187054523437,0.394462207262578,0.326401919933975
"MEturquoise",0.135527580448904,0.665262031230551,0.424834981476085,0.854003043562467
"MEskyblue3",0.0888511483271233,0.536769280597526,0.919585613525032,0.333929733494846
"MEsienna3",0.0966255616947094,0.283603614656529,0.0836164849151919,0.478802136120518
"MEcyan",0.171984193364299,0.376826825868777,0.175985257268282,0.386747130980663
"MEgreen",0.0110333081454441,0.366619948899847,0.290919213461209,0.774333674917783
"MEplum1",0.365972223667798,0.27466587664033,0.994962447650505,0.0480190195754472
"MEred",0.253117262234365,0.790088339117053,0.274192176247258,0.780600164645708
"MEorangered4",0.770553396723007,0.198553878354913,0.682002174711006,0.206003624778232
"MEsteelblue",0.989226200764159,0.373973913463617,0.831414104833225,0.611531872160001
"MEmagenta",0.616751641264893,0.657274203924187,0.554706803113525,0.443530582589758
"MEpaleturquoise",0.114106419608857,0.871088468997581,0.848655253364972,0.239709024292046
"MEdarkorange",0.911318110253801,0.265467208909014,0.863688534357068,0.200762870810047
"MEorange",0.676394850010201,0.105786975933035,0.433516559821579,0.370146081453771
"MElightyellow",0.679109761434685,0.369339474264635,0.273822923141212,0.109132559098852
"MEblack",0.132618820594613,0.788827865133658,0.508852755941434,0.631240560164014
"MEroyalblue",0.511757969690906,0.400512152506524,0.529060810024408,0.452819369753868
"MEviolet",0.286745383528282,0.166973843721028,0.420443832443551,0.437276604683717
"MEdarkmagenta",0.0669443867416073,0.124457679764804,0.243246888193221,0.0704887713344102
"MElightgreen",0.488629867934521,0.427753007117187,0.354818580866632,0.305241694013219
"MElightcyan",0.573971462434484,4.04357569092084e-05,0.830563792637213,0.0784514629465026
"MElightsteelblue1",0.352079586415134,0.000402002272577589,0.317422112202663,0.765061109733125
"MEsaddlebrown",0.760412768637593,0.000638923330469225,0.198511082758478,0.556085175989085
"MEyellow",0.980510850120382,0.161392245000661,0.0134811721982656,0.237525551249908
"MEdarkolivegreen",0.367670140012731,0.066078966274459,0.0823672981508939,0.219207584925731
"MEyellowgreen",0.491223652834572,0.0799836612457598,0.718223184104307,0.747456988444522
"MEgrey",0.300000215015971,0.512183774260148,0.310127242455797,0.621959659837416
