"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.31477220310275,5.69126308687924,0.9268433299469,2445.60819382385,2455.78647020207,2744.43079327302
2,0.0685978048846164,1.64378169921739,0.917768757948128,1398.17225431197,1391.7469622285,1766.88853460709
3,0.0179371816726742,0.642032561610928,0.936668125274101,862.746274413793,847.382721421258,1224.88616161775
4,0.00123706668102446,-0.136329476334493,0.943023243374426,564.185786237849,545.596889284423,900.513340897118
5,0.0254194312831231,-0.529465745179196,0.946810677696506,386.117494203958,369.052654919288,687.849067810441
6,0.079629238502915,-0.828592908802111,0.947331198525907,274.08342571603,258.685304567616,539.951412645219
7,0.164825562425404,-1.09841780535655,0.954977141041458,200.471660975474,186.746237444531,432.834182128676
8,0.256859001927251,-1.28016377947708,0.959123212405219,150.340524298561,138.632351201329,352.799609339407
9,0.352229295409055,-1.43960820740229,0.967141421989355,115.157630989572,104.981374035636,292.33746914948
10,0.43399026949711,-1.57111167747838,0.972400793480091,89.8255121123051,80.8836241108035,245.760543621449
12,0.55173712248123,-1.736586634184,0.976361473591876,57.1893754134369,50.2354720970738,178.824456968089
14,0.647607897606008,-1.90268487097744,0.984149066956584,38.2457594956004,32.8090565395236,134.290354247719
16,0.700560169420033,-1.93622870299075,0.989761913221893,26.6010645873115,22.3337447923662,103.438480203727
18,0.738979080203573,-2.01780965322884,0.989617168921845,19.1057872733292,15.6442106897236,81.3623849382435
20,0.769061941840766,-2.09087967188972,0.985101326942957,14.0953072060319,11.3009419818888,65.1366806125726
22,0.788069141178837,-2.14784513962026,0.984609995673761,10.6380383856406,8.31870333426063,52.9370413812076
24,0.805571486888188,-2.14893837072048,0.990018374348716,8.18731230719148,6.21965339735496,43.583520924801
26,0.821978249761917,-2.1667083722439,0.988110040777117,6.40924535097502,4.7671618029414,36.2891965020938
28,0.827033226197216,-2.18727013630734,0.983076300992364,5.09281565347844,3.70109295944931,30.5152353329506
30,0.842408985439995,-2.16698321483261,0.987600423542476,4.10064141281356,2.91629956988427,25.8840712692383
