protein_id	sprot_acc	pident	evalue	protein_name	EC	GO	KEGG
KAN1670664.1	Q8W103	31.3	2.2e-09	Protein CHROMATIN REMODELING 24	3.6.4.-	GO:0003677;GO:0004386;GO:0005524;GO:0005634;GO:0006281;GO:0006310;GO:0015616;GO:0016787;GO:0045951;GO:0140658	ath:AT5G63950
KAN1670673.1	J9VX63	69.2	2.5e-26	C2H2 finger domain transcription factor USV101		GO:0000785;GO:0000978;GO:0000981;GO:0005634;GO:0005737;GO:0008270;GO:0042438	cng:CNAG_05420
KAN1670675.1	F1SY91	37.2	3.6e-98	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670680.1	A0A067N4P7	80.5	4.0e-62	Unclassified hydrophobin 9		GO:0005199;GO:0005576;GO:0009277	
KAN1670687.1	A0A2H3CNY6	50.0	3.3e-54	Cytochrome P450 monooxygenase ARMGADRAFT_974139	1.-.-.-	GO:0004497;GO:0005506;GO:0016020;GO:0016705;GO:0020037	
KAN1670688.1	Q7SGY6	52.3	3.4e-19	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial		GO:0005743;GO:0006099;GO:0006121;GO:0020037;GO:0045273;GO:0046872;GO:0048039	ncr:NCU03031
KAN1670705.1	A1C4M2	36.6	5.1e-99	Extracellular metalloproteinase mep	3.4.24.-	GO:0004222;GO:0005576;GO:0006508;GO:0008270	act:ACLA_060300
KAN1670706.1	Q12381	42.1	5.3e-114	Pre-mRNA-splicing factor prp1		GO:0000244;GO:0000398;GO:0005634;GO:0045292;GO:0046540;GO:0071013	spo:2541185
KAN1670707.1	Q01752	59.3	1.9e-157	Aryl-alcohol dehydrogenase [NADP(+)]	1.1.1.91	GO:0047681	
KAN1670709.1	A1CA51	43.5	1.4e-232	Probable beta-glucosidase I	3.2.1.21	GO:0005576;GO:0008422;GO:0030245	act:ACLA_010450
KAN1670710.1	O74999	33.7	7.0e-59	DNA repair protein rhp7		GO:0000113;GO:0005634;GO:0005737;GO:0006289;GO:0019005;GO:0031146;GO:0044732;GO:1990756	spo:2539094
KAN1670715.1	Q03656	39.6	8.1e-121	Serine/threonine-protein kinase SKY1	2.7.11.1	GO:0000245;GO:0004672;GO:0004674;GO:0005524;GO:0005634;GO:0005737;GO:0006376;GO:0006873;GO:0008361;GO:0009410;GO:0010494;GO:0030003;GO:0035617;GO:0042307;GO:0050684;GO:0106310	sce:YMR216C
KAN1670718.1	Q09752	32.8	1.3e-59	Vacuolar amino acid uptake transporter fnx1		GO:0000324;GO:0000329;GO:0015174;GO:0015182;GO:0015188;GO:0015189;GO:0015802;GO:0055085;GO:0090517;GO:1903714;GO:1990591	spo:2539786
KAN1670719.1	O14189	35.8	3.2e-59	Protein phosphatase 2C homolog C10F6.17c	3.1.3.16	GO:0004741;GO:0005739;GO:0005759;GO:0006086;GO:0046872	spo:2543002
KAN1670720.1	A1C4M2	37.6	8.2e-100	Extracellular metalloproteinase mep	3.4.24.-	GO:0004222;GO:0005576;GO:0006508;GO:0008270	act:ACLA_060300
KAN1670721.1	Q6GLT8	41.7	1.5e-52	Oxaloacetate tautomerase fahd2, mitochondrial	5.3.2.2 {ECO:0000250|UniProtKB:F1MLX0}	GO:0005739;GO:0006107;GO:0046872;GO:0050163	xla:444668
KAN1670727.1	Q54YZ9	52.4	0.0e+00	Hybrid signal transduction histidine kinase J	2.7.13.3	GO:0000155;GO:0004673;GO:0005524;GO:0016020;GO:0071474	ddi:DDB_G0277883
KAN1670729.1	Q9JLH5	39.0	2.8e-06	CDK5 regulatory subunit-associated protein 2		GO:0000132;GO:0000226;GO:0000242;GO:0000922;GO:0000931;GO:0000976;GO:0001578;GO:0005516;GO:0005737;GO:0005794;GO:0005813;GO:0005829;GO:0005874;GO:0007059;GO:0007098;GO:0007099;GO:0007420;GO:0008017;GO:0015631;GO:0019901;GO:0022008;GO:0031023;GO:0031116;GO:0035371;GO:0036064;GO:0043015;GO:0044877;GO:0045665;GO:0045736;GO:0045893;GO:0046600;GO:0048471;GO:0090266;GO:0097431	
KAN1670731.1	Q13523	53.8	2.0e-106	Serine/threonine-protein kinase PRP4 homolog	2.7.11.1 {ECO:0000305|PubMed:20118938, ECO:0000305|PubMed:21406692}	GO:0000244;GO:0000387;GO:0000388;GO:0000398;GO:0000776;GO:0003723;GO:0004674;GO:0005524;GO:0005634;GO:0005654;GO:0016607;GO:0035332;GO:0045292;GO:0046827;GO:0071013;GO:0090266;GO:0106310	hsa:8899
KAN1670732.1	Q54YZ9	45.7	2.5e-70	Hybrid signal transduction histidine kinase J	2.7.13.3	GO:0000155;GO:0004673;GO:0005524;GO:0016020;GO:0071474	ddi:DDB_G0277883
KAN1670733.1	Q9UUH4	62.0	1.2e-131	C-4 methylsterol oxidase erg25	1.14.18.- {ECO:0000250|UniProtKB:P53045}	GO:0000254;GO:0005506;GO:0005783;GO:0005789;GO:0006696	spo:2543373
