start,end,length,total_reads,libraries,rfam,mean_efficiency,min_efficiency,max_efficiency,n_libs_scored,reads_2B,reads_2C,reads_2D,reads_2E,reads_2F,reads_2G,reads_2H,reads_1A,reads_1B,reads_1C,reads_1D,reads_1E,reads_1F,reads_1G,reads_1H,reads_2A
4871,4989,118,16509,4,,0.028,0.0,0.131,16,0,614,1722,0,7124,0,0,0,0,0,0,0,7049,0,0,0
6796,7232,436,4782,16,Intron_gpI (E=2.7e-15),1.0,1.0,1.0,16,9,117,35,6,202,187,714,867,278,69,229,322,202,1124,405,16
4677,5155,478,829,8,,0.001,0.0,0.003,16,0,0,0,0,24,30,309,216,1,0,79,0,55,115,0,0
4749,4788,39,681,11,,0.0,0.0,0.001,16,0,0,13,21,42,48,224,131,0,0,75,25,4,87,11,0
5130,5163,33,581,8,,0.0,0.0,0.002,16,0,41,148,0,87,31,0,0,27,0,0,106,61,0,80,0
5125,5171,46,526,10,,0.0,0.0,0.002,16,30,11,107,14,82,0,0,0,32,0,40,103,0,0,54,53
4876,4977,101,367,11,,0.001,0.0,0.004,16,8,0,21,20,157,0,0,13,90,0,22,21,0,4,2,9
4785,5176,391,319,6,,0.0,0.0,0.0,16,0,0,0,1,30,41,139,45,0,0,63,0,0,0,0,0
4983,5044,61,255,3,,0.0,0.0,0.001,16,0,0,0,0,0,44,112,0,0,0,99,0,0,0,0,0
4835,5051,216,252,4,,0.0,0.0,0.001,16,0,0,0,0,0,0,0,0,34,0,0,123,53,0,42,0
4881,4989,108,241,6,,0.0,0.0,0.003,16,0,0,0,0,23,0,0,0,15,0,54,76,0,0,35,38
5135,5162,27,206,10,,0.0,0.0,0.001,16,0,24,32,2,38,6,0,0,19,0,14,27,0,0,36,8
6406,6448,42,178,13,,0.001,0.0,0.002,16,0,22,15,3,20,2,7,21,11,0,31,15,7,11,13,0
5132,5163,31,165,8,,0.0,0.0,0.001,16,0,43,83,0,19,2,0,0,5,0,6,6,0,0,1,0
4886,5072,186,148,3,,0.0,0.0,0.0,16,0,0,0,0,0,0,110,36,0,0,2,0,0,0,0,0
19401,20688,1287,146,8,Intron_gpI (E=1.2e-13),1.0,1.0,1.0,8,0,0,0,7,15,6,80,12,11,0,0,0,5,10,0,0
4143,4258,115,142,3,,0.002,0.0,0.02,16,74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67
4875,4974,99,140,10,,0.0,0.0,0.003,16,7,1,4,42,12,0,0,0,12,0,2,24,0,0,12,24
10389,12124,1735,124,7,,1.0,1.0,1.0,6,0,23,9,0,0,0,56,18,0,0,0,9,0,7,2,0
5128,5171,43,121,6,,0.0,0.0,0.001,16,0,21,28,0,23,0,0,0,16,0,0,25,8,0,0,0
4870,4984,114,108,6,,0.0,0.0,0.002,16,11,0,2,0,71,0,0,0,0,0,0,15,0,0,8,1
4876,4985,109,102,6,,0.0,0.0,0.001,16,0,5,14,0,59,0,0,0,3,0,5,0,0,0,16,0
4880,4972,92,101,7,,0.0,0.0,0.001,16,0,6,1,12,60,5,0,0,14,0,3,0,0,0,0,0
4732,5148,416,97,7,,0.0,0.0,0.0,16,0,0,0,2,0,0,8,41,0,0,18,7,0,14,7,0
4881,4976,95,97,6,,0.0,0.0,0.001,16,0,0,0,0,27,0,0,0,18,0,19,6,0,0,16,11
5240,5837,597,88,15,Intron_gpI (E=1.7e-01),0.0,0.0,0.0,16,3,1,5,1,1,9,11,12,14,2,4,6,0,4,13,2
5133,5168,35,81,8,,0.0,0.0,0.001,16,0,28,29,1,4,0,1,0,12,0,0,1,0,0,5,0
4144,4258,114,79,3,,0.0,0.0,0.006,16,2,0,0,0,0,0,0,0,0,0,0,0,6,0,71,0
38123,38264,141,58,9,,0.006,0.0,0.029,16,1,0,0,0,3,0,0,0,2,2,7,25,0,6,6,6
5137,5163,26,56,6,,0.0,0.0,0.0,16,0,12,20,0,9,0,0,0,6,0,1,0,0,0,8,0
4972,5057,85,54,3,,0.0,0.0,0.0,16,0,0,0,0,0,0,40,0,0,0,0,3,11,0,0,0
5118,5178,60,52,3,,0.0,0.0,0.0,16,0,0,13,6,0,0,0,0,0,0,33,0,0,0,0,0
4945,4972,27,51,5,,0.0,0.0,0.0,16,0,0,0,0,2,0,0,0,0,0,2,18,18,0,11,0
5064,5155,91,49,6,,0.0,0.0,0.0,16,0,0,0,0,0,4,15,0,0,0,6,7,0,4,13,0
4999,5080,81,47,3,,0.0,0.0,0.001,16,7,0,0,0,0,0,0,0,0,0,0,25,0,0,15,0
4880,4971,91,46,5,,0.0,0.0,0.001,16,0,0,6,17,14,0,0,0,8,0,0,0,0,1,0,0
6247,6277,30,45,3,,0.0,0.0,0.003,16,0,18,23,0,4,0,0,0,0,0,0,0,0,0,0,0
4901,4956,55,45,3,,0.0,0.0,0.0,16,0,0,0,0,7,0,0,0,0,0,0,21,0,0,17,0
5118,5175,57,42,4,,0.0,0.0,0.0,16,0,6,3,4,0,0,0,0,0,0,0,29,0,0,0,0
4880,4977,97,41,6,,0.0,0.0,0.002,16,13,0,0,0,8,0,0,0,6,0,9,0,0,0,4,1
4870,4985,115,40,5,,0.0,0.0,0.002,16,0,12,7,0,15,0,0,0,0,0,0,0,5,0,1,0
38092,38290,198,38,8,,0.005,0.0,0.034,16,0,0,0,0,1,0,0,0,4,5,2,14,4,0,3,5
4769,4828,59,33,3,,0.0,0.0,0.0,16,0,0,0,0,0,0,0,18,0,0,10,0,0,0,5,0
