orf,start,end,strand,length_nt,total_reads,libraries_detected,reads_2B,reads_2C,reads_2D,reads_2E,reads_2F,reads_2G,reads_2H,reads_1A,reads_1B,reads_1C,reads_1D,reads_1E,reads_1F,reads_1G,reads_1H,reads_2A,in_rRNA_block
CM148777.1_50,6574,6879,-,306,14070,16,42,214,144,53,589,465,2107,2599,796,131,847,1094,479,3315,1154,41,1
CM148777.1_27,65174,66319,+,1146,584,12,3,104,40,8,15,17,156,66,17,0,1,7,13,82,54,1,0
CM148777.1_14,32764,33906,+,1143,524,11,4,71,59,0,20,23,182,37,0,0,7,0,15,37,56,13,0
CM148777.1_33,65782,66177,-,396,376,11,3,76,29,8,8,13,81,40,14,0,1,3,8,60,31,1,0
CM148777.1_32,66224,66730,-,507,254,10,0,41,17,4,18,4,77,28,9,0,0,7,6,30,13,0,0
CM148777.1_44,32880,33218,-,339,218,8,1,40,15,0,4,14,88,20,0,0,6,0,0,20,10,0,0
CM148777.1_22,59175,59507,+,333,114,6,0,11,8,0,4,0,35,26,0,0,0,4,3,10,13,0,0
CM148777.1_43,33276,33641,-,366,106,6,0,20,9,0,3,3,30,7,0,0,2,0,0,7,25,0,0
CM148777.1_20,57612,57965,+,354,104,5,0,11,6,0,4,0,53,12,0,0,0,0,1,14,3,0,1
CM148777.1_30,70880,71929,+,1050,100,5,1,1,28,0,2,0,20,7,1,0,0,1,20,3,12,4,0
CM148777.1_49,8824,9159,-,336,65,5,0,6,3,0,2,0,22,1,2,0,0,4,7,6,9,3,0
CM148777.1_21,58038,58997,+,960,60,4,0,13,9,0,1,0,19,14,0,0,0,0,0,1,3,0,1
CM148777.1_51,2110,3114,-,1005,58,7,0,1,0,0,2,3,11,5,1,0,10,6,8,5,6,0,1
CM148777.1_1,2795,3136,+,342,56,7,0,1,0,0,2,3,11,5,1,0,10,6,6,5,6,0,1
CM148777.1_11,27636,27956,+,321,30,3,0,0,0,0,0,0,10,13,0,0,0,0,0,0,7,0,0
CM148777.1_37,58289,58630,-,342,29,3,0,5,0,0,0,0,12,10,0,0,0,0,0,0,2,0,1
CM148777.1_31,68731,69816,-,1086,13,0,2,2,3,0,4,0,0,0,0,0,0,0,0,0,2,0,0
CM148777.1_28,66884,67339,+,456,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
CM148777.1_26,64085,64510,+,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM148777.1_29,68984,69520,+,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
