gene,tau,mean_Exudophore,protein_name,EC,KEGG
PTI98_010586,0.957,28.915,,,
PTI98_000571,0.954,88.625,Copper amine oxidase 1,1.4.3.21 {ECO:0000269|PubMed:16946276},spo:2541754
PTI98_001479,0.951,35.427,"Probable acyl-activating enzyme 12, peroxisomal",6.2.1.-,ath:AT1G65890
PTI98_008396,0.945,36.087,Inositol oxygenase 1,"1.13.99.1 {ECO:0000250|UniProtKB:Q8H1S0, ECO:0000305|PubMed:15660207}",ath:AT1G14520
PTI98_012555,0.915,341.216,Aldehyde dehydrogenase,1.2.1.3,
PTI98_004421,0.907,93.226,Aldehyde oxidase GLOX,"1.2.3.15 {ECO:0000269|PubMed:3553159, ECO:0000269|PubMed:8557673}",ag:AAA33747
PTI98_006179,0.904,182.244,Formate dehydrogenase,"1.17.1.9 {ECO:0000255|HAMAP-Rule:MF_03210, ECO:0000269|PubMed:10691964, ECO:0000269|PubMed:11171126, ECO:0000269|PubMed:1248477, ECO:0000269|PubMed:17525463, ECO:0000269|PubMed:9226256}",
PTI98_006677,0.902,19.078,Probable zinc metalloprotease PTT_08196,3.4.-.-,pte:PTT_08196
PTI98_006247,0.881,34.246,AA9 family lytic polysaccharide monooxygenase A,1.14.99.54 {ECO:0000269|PubMed:27590806};1.14.99.56 {ECO:0000269|PubMed:27590806},gtr:GLOTRDRAFT_45736
PTI98_012472,0.878,80.826,Meiotically up-regulated gene 86 protein,,spo:2542020
PTI98_012824,0.874,105.614,Amino-acid permease inda1,,
PTI98_000899,0.857,55.623,Damage-control phosphatase SPAC806.04c,3.1.3.- {ECO:0000250|UniProtKB:Q04371},spo:2543077
PTI98_011157,0.841,38.485,Thiamine thiazole synthase,2.4.2.60 {ECO:0000255|HAMAP-Rule:MF_03158},cci:CC1G_04976
PTI98_004678,0.835,27.658,Protein BMH2,,sce:YDR099W
PTI98_011030,0.83,105.675,,,
PTI98_012715,0.816,266.242,Peroxisomal catalase,1.11.1.6 {ECO:0000255|PROSITE-ProRule:PRU10013},cal:CAALFM_C106810WA
PTI98_004726,0.813,34.322,5'-3' exoribonuclease 2,3.1.13.-,uma:UMAG_06164
PTI98_006229,0.805,45.3,,,
PTI98_000399,0.805,48.336,Lipase 2,3.1.1.3,
PTI98_008047,0.803,41.899,Secreted mono- and diacylglycerol lipase LIP2,3.1.1.- {ECO:0000269|PubMed:26298017},
PTI98_004083,0.798,50.417,,,
PTI98_007299,0.794,70.395,Probable quinate permease,,
PTI98_006983,0.793,41.926,Aldehyde reductase 1,"1.1.1.2 {ECO:0000269|PubMed:1633196, ECO:0000269|PubMed:8779568}",
PTI98_006260,0.785,19.332,Peroxisomal targeting signal receptor,,cal:CAALFM_C400150CA
PTI98_008667,0.783,30.894,Cytochrome P450 monooxygenase 89,1.-.-.- {ECO:0000269|PubMed:21938516},
PTI98_006808,0.773,36.301,"2,3-dimethylmalate lyase",4.1.3.32,ag:ABC88406
PTI98_002276,0.77,60.116,Acetyl-CoA hydrolase,3.1.2.1,ncr:NCU09770
PTI98_001259,0.76,24.168,Uncharacterized transporter C1039.04,,spo:2542960
PTI98_005928,0.754,40.593,Protein hob3,,spo:2541160
PTI98_000639,0.749,27.15,,,
PTI98_000397,0.748,18.329,chitinase-like effector,,
PTI98_007850,0.747,34.094,,,
PTI98_002520,0.747,21.248,Protein AE7,,ath:AT1G68310
PTI98_006436,0.744,278.497,,,
PTI98_008643,0.74,134.43,Alcohol dehydrogenase 3,1.1.1.1,ani:ANIA_02286
PTI98_006060,0.738,36.911,Glutaminase A,3.5.1.2 {ECO:0000269|PubMed:10952006},aor:AO090020000289
PTI98_012851,0.733,21.387,,,
PTI98_012152,0.729,298.623,,,
PTI98_006533,0.727,24.333,,,
PTI98_012181,0.725,101.24,Glycogen phosphorylase,2.4.1.1,sce:YPR160W
PTI98_003822,0.725,46.94,MFS transporter prlL,,
PTI98_004711,0.724,53.475,THO complex subunit 2,,
PTI98_003448,0.718,31.326,Cell division control protein 4,,
PTI98_004742,0.718,74.75,S-(hydroxymethyl)glutathione dehydrogenase,1.1.1.- {ECO:0000250|UniProtKB:P32771};1.1.1.1 {ECO:0000250|UniProtKB:P32771};1.1.1.284 {ECO:0000250|UniProtKB:P32771},
PTI98_002536,0.718,54.924,Eukaryotic peptide chain release factor subunit 1,,
PTI98_012567,0.717,44.908,Aldehyde dehydrogenase,1.2.1.3,
PTI98_000185,0.715,26.847,,,
PTI98_010289,0.714,106.928,Acyl-CoA-binding protein,,
PTI98_001300,0.713,78.049,,,
PTI98_010893,0.71,150.994,V-type proton ATPase subunit c,,
