#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253    21449    21216      -    no    1 0.32   7.4   71.3   1.6e-19 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253      693      316      -    no    1 0.35  10.2   63.5   3.4e-17 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253    21886    21578      -    no    1 0.33  12.8   62.5   7.1e-17 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253    43077    42724      -    no    1 0.34  16.2   49.2   6.6e-13 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253    42325    42009      -    no    1 0.23  55.0   46.6   3.9e-12 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253     9718     9423      -    no    1 0.38   0.2   45.6   8.2e-12 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253    13394    12991      -    no    1 0.28  46.1   39.7   4.7e-10 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253    12882    12652      -    no    1 0.36   0.4   39.6   4.9e-10 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        5      158     8551     8381      -    no    1 0.36   0.0   36.3   4.9e-09 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm        1      253     7162     7049      -    no    1 0.31   1.7   28.8   8.9e-07 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm       52      155     4941     4829      -    no    1 0.34   0.3   27.6     2e-06 !   Pleurotus giganteus mitochondrion, complete genome
NC_062374.1          -         Intron_gpI           RF00028    cm      160      251    14878    14806      -    no    1 0.25   1.3   26.6   3.8e-06 !   Pleurotus giganteus mitochondrion, complete genome
#
# Program:         cmsearch
# Version:         1.1.5 (Sep 2023)
# Pipeline mode:   SEARCH
# Query file:      refs/rfam/introns.cm
# Target file:     refs/mito_comparative/NC_062374.1.fa
# Option settings: cmsearch --tblout results/mito_comparative/NC_062374.1.introns.tbl -E 0.01 --cpu 8 refs/rfam/introns.cm refs/mito_comparative/NC_062374.1.fa 
# Current dir:     /Users/drb_laptop/Documents/Tissue_specific_myeclium/analysis
# Date:            Thu Aug 20 12:17:29 2026
# [ok]
