protein_id	sprot_acc	pident	protein_name	EC	signal_peptide	n_TM_outside_signal	secreted
KAN1670664.1	Q8W103	31.3	Protein CHROMATIN REMODELING 24	3.6.4.-		0	0
KAN1670673.1	J9VX63	69.2	C2H2 finger domain transcription factor USV101			0	0
KAN1670675.1	F1SY91	37.2	Cytochrome P450 monooxygenase 98	1.-.-.- {ECO:0000269|PubMed:21938516}		1	0
KAN1670680.1	A0A067N4P7	80.5	Unclassified hydrophobin 9		1-24	0	1
KAN1670687.1	A0A2H3CNY6	50.0	Cytochrome P450 monooxygenase ARMGADRAFT_974139	1.-.-.-		1	0
KAN1670688.1	Q7SGY6	52.3	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial			3	0
KAN1670705.1	A1C4M2	36.6	Extracellular metalloproteinase mep	3.4.24.-	1-18	0	1
KAN1670706.1	Q12381	42.1	Pre-mRNA-splicing factor prp1			0	0
KAN1670707.1	Q01752	59.3	Aryl-alcohol dehydrogenase [NADP(+)]	1.1.1.91		0	0
KAN1670709.1	A1CA51	43.5	Probable beta-glucosidase I	3.2.1.21		0	0
KAN1670710.1	O74999	33.7	DNA repair protein rhp7			0	0
KAN1670715.1	Q03656	39.6	Serine/threonine-protein kinase SKY1	2.7.11.1		0	0
KAN1670718.1	Q09752	32.8	Vacuolar amino acid uptake transporter fnx1			7	0
KAN1670719.1	O14189	35.8	Protein phosphatase 2C homolog C10F6.17c	3.1.3.16		0	0
KAN1670720.1	A1C4M2	37.6	Extracellular metalloproteinase mep	3.4.24.-	1-18	0	1
KAN1670721.1	Q6GLT8	41.7	Oxaloacetate tautomerase fahd2, mitochondrial	5.3.2.2 {ECO:0000250|UniProtKB:F1MLX0}		0	0
KAN1670727.1	Q54YZ9	52.4	Hybrid signal transduction histidine kinase J	2.7.13.3		0	0
KAN1670729.1	Q9JLH5	39.0	CDK5 regulatory subunit-associated protein 2			0	0
KAN1670731.1	Q13523	53.8	Serine/threonine-protein kinase PRP4 homolog	2.7.11.1 {ECO:0000305|PubMed:20118938, ECO:0000305|PubMed:21406692}		0	0
