gene,tau,mean_Exuding mycelium,protein_name,EC,KEGG
PTI98_008583,0.939,13.155,,,
PTI98_000488,0.872,33.517,,,
PTI98_003031,0.825,41.226,,,
PTI98_002854,0.799,32.922,Aryl-alcohol dehydrogenase [NADP(+)],1.1.1.91,
PTI98_010436,0.769,21.411,O-methyltransferase tpcA,2.1.1.283 {ECO:0000305|PubMed:26242966},afm:AFUA_4G14580
PTI98_010726,0.762,19.799,Versicolorin reductase 1,1.3.1.- {ECO:0000269|PubMed:26266881},
PTI98_013006,0.736,26.699,"Beta-1,3-glucan-binding protein",,
PTI98_002502,0.707,22.238,Probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL2,3.2.2.n1,osa:107275650
PTI98_002274,0.697,25.219,Ammonium transporter 1,,spo:2539332
PTI98_012608,0.695,13.267,,,
PTI98_013005,0.694,97.246,,,
PTI98_011245,0.67,14.525,,,
PTI98_011779,0.66,21.667,GMC oxidoreductase family protein Mala s 12,1.-.-.- {ECO:0000305},msym:MSY001_2108
PTI98_003071,0.65,18.208,Adenosine deaminase 2,3.5.4.4 {ECO:0000250|UniProtKB:Q9NZK5},ssc:397079
PTI98_003980,0.646,15.778,,,
PTI98_010314,0.644,42.343,,,
PTI98_011781,0.641,23.719,,,
PTI98_010449,0.637,1361.161,,,
PTI98_012617,0.631,34.465,Dehydrogenase ARMGADRAFT_1018426,1.1.1.-,
PTI98_012736,0.629,17.7,Cytochrome P450 monooxygenase claR,1.-.-.- {ECO:0000269|PubMed:38602511},
PTI98_000547,0.623,202.842,,,
PTI98_007539,0.611,55.524,,,
PTI98_007356,0.599,52.176,High-affinity zinc transporter ZRT1,,sce:YGL255W
PTI98_010366,0.598,14.916,Arginase,3.5.3.1 {ECO:0000269|PubMed:38300354},
PTI98_009698,0.598,624.79,,,
PTI98_013190,0.589,12.838,Peroxiredoxin-6,"1.11.1.27 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:9497358};2.3.1.23 {ECO:0000269|PubMed:26830860};3.1.1.4 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:26830860}",hsa:9588
PTI98_010687,0.588,49.821,,,
PTI98_013196,0.583,41.255,Peroxiredoxin-6,"1.11.1.27 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:9497358};2.3.1.23 {ECO:0000269|PubMed:26830860};3.1.1.4 {ECO:0000269|PubMed:10893423, ECO:0000269|PubMed:26830860}",hsa:9588
PTI98_008495,0.577,19.94,,,
PTI98_009968,0.575,26.585,Probable metal homeostasis protein bsd1,,spo:2543206
PTI98_006643,0.572,23.462,,,
PTI98_003104,0.571,19.136,Uncharacterized transporter PB1C11.03,,
PTI98_008437,0.564,12.127,Trehalose-phosphatase,3.1.3.12 {ECO:0000269|PubMed:2546763},sce:YDR074W
PTI98_000751,0.561,17.083,,,
PTI98_010985,0.557,22.6,Carbonic anhydrase 2,4.2.1.1 {ECO:0000269|PubMed:11316870},ecj:JW0122;eco:b0126;ecoc:C3026_00535
PTI98_006168,0.555,14.111,,,
PTI98_010571,0.549,13.323,,,
PTI98_008048,0.547,17.422,Secreted mono- and diacylglycerol lipase MDL2,"3.1.1.- {ECO:0000269|PubMed:25749469, ECO:0000269|PubMed:27130210, ECO:0000269|PubMed:28433636}",mgl:MGL_0799
PTI98_007237,0.543,75.352,,,
PTI98_013634,0.542,21.972,,,
PTI98_000746,0.54,24.759,,,
PTI98_005360,0.538,19.136,,,
PTI98_006187,0.537,66.184,Suppressor of hairless protein homolog,,xla:399453
PTI98_004095,0.535,10.042,,,
PTI98_003252,0.534,12.94,Dicarboxylic amino acid permease,,sce:YPL265W
PTI98_004666,0.526,27.77,,,
PTI98_002402,0.526,12.719,,,
PTI98_010693,0.526,22.873,,,
PTI98_011225,0.525,36.54,5'-AMP-activated protein kinase subunit beta-1,,bta:534107
PTI98_004688,0.524,26.11,,,
